,xmf,upp_noerr,low_noerr,med_noerr,upp_err,low_err,med_err
0,0.125,0.0,0.0,0.0,0.0,0.0,0.0
1,0.375,0.0,0.0,0.0,0.0,0.0,0.0
2,0.625,0.0,0.0,0.0,0.0,0.0,0.0
3,0.875,0.0,0.0,0.0,0.0,0.0,0.0
4,1.125,0.0,0.0,0.0,0.0,0.0,0.0
5,1.375,0.0,0.0,0.0,0.0,0.0,0.0
6,1.625,0.0,0.0,0.0,0.0,0.0,0.0
7,1.875,0.0,0.0,0.0,0.0,0.0,0.0
8,2.125,0.0,0.0,0.0,0.0,0.0,0.0
9,2.375,0.0,0.0,0.0,0.0,0.0,0.0
10,2.625,0.0,0.0,0.0,0.0,0.0,0.0
11,2.875,0.0,0.0,0.0,0.0,0.0,0.0
12,3.125,0.0,0.0,0.0,0.0,0.0,0.0
13,3.375,0.0,0.0,0.0,0.0,0.0,0.0
14,3.625,0.0,0.0,0.0,0.0,0.0,0.0
15,3.875,0.0,0.0,0.0,0.0,0.0,0.0
16,4.125,0.0,0.0,0.0,0.0,0.0,0.0
17,4.375,0.0,0.0,0.0,0.0,0.0,0.0
18,4.625,0.0,0.0,0.0,0.0,0.0,0.0
19,4.875,0.0,0.0,0.0,0.0,0.0,0.0
20,5.125,0.0,0.0,0.0,0.0,0.0,0.0
21,5.375,0.0,0.0,0.0,0.0,0.0,0.0
22,5.625,0.0,0.0,0.0,0.0,0.0,0.0
23,5.875,0.0,0.0,0.0,0.0,0.0,0.0
24,6.125,0.0,0.0,0.0,0.0,0.0,0.0
25,6.375,0.0,0.0,0.0,0.0,0.0,0.0
26,6.625,0.0,0.0,0.0,0.0,0.0,0.0
27,6.875,0.0,0.0,0.0,0.0,0.0,0.0
28,7.125,0.0,0.0,0.0,0.0,0.0,0.0
29,7.375,0.0,0.0,0.0,0.0,0.0,0.0
30,7.625,0.0,0.0,0.0,0.0,0.0,0.0
31,7.875,0.0,0.0,0.0,0.0,0.0,0.0
32,8.125,0.0,0.0,0.0,0.0,0.0,0.0
33,8.375,0.0,0.0,0.0,0.0,0.0,0.0
34,8.625,0.0,0.0,0.0,0.0,0.0,0.0
35,8.875,0.0,0.0,0.0,2.1600603908901308e-08,0.0,0.0
36,9.125,2.700075488612721e-07,0.0,1.3500377443063606e-07,1.3500377443063606e-07,0.0,0.0
37,9.375,0.0,0.0,0.0,2.700075488612721e-07,0.0,1.3500377443063606e-07
38,9.625,4.0501132329190813e-07,1.3500377443063606e-07,2.700075488612721e-07,2.700075488612721e-07,0.0,1.3500377443063606e-07
39,9.875,4.0501132329190813e-07,1.3500377443063606e-07,2.700075488612721e-07,4.0501132329190813e-07,1.3500377443063606e-07,2.700075488612721e-07
40,10.125,6.750188721531802e-07,1.3500377443063606e-07,4.0501132329190813e-07,5.400150977225442e-07,1.3500377443063606e-07,2.700075488612721e-07
41,10.375,5.400150977225442e-07,1.3500377443063606e-07,2.700075488612721e-07,6.750188721531802e-07,1.3500377443063606e-07,4.0501132329190813e-07
42,10.625,8.100226465838163e-07,2.700075488612721e-07,5.400150977225442e-07,6.750188721531802e-07,1.3500377443063606e-07,4.0501132329190813e-07
43,10.875,8.100226465838163e-07,2.700075488612721e-07,5.400150977225442e-07,8.100226465838163e-07,2.700075488612721e-07,4.725132105072262e-07
44,11.125,8.100226465838163e-07,2.700075488612721e-07,5.400150977225442e-07,8.100226465838163e-07,2.700075488612721e-07,5.400150977225442e-07
45,11.375,9.450264210144524e-07,2.700075488612721e-07,5.400150977225442e-07,8.100226465838163e-07,2.700075488612721e-07,5.400150977225442e-07
46,11.625,6.750188721531802e-07,2.700075488612721e-07,4.0501132329190813e-07,8.100226465838163e-07,2.700075488612721e-07,5.400150977225442e-07
47,11.875,1.3500377443063605e-06,5.400150977225442e-07,9.450264210144524e-07,1.0800301954450885e-06,4.0501132329190813e-07,6.750188721531802e-07
48,12.125,1.3500377443063605e-06,6.750188721531802e-07,9.450264210144524e-07,1.3500377443063605e-06,5.400150977225442e-07,8.100226465838163e-07
49,12.375,1.2150339698757244e-06,6.750188721531802e-07,9.450264210144524e-07,1.3500377443063605e-06,6.750188721531802e-07,9.450264210144524e-07
50,12.625,1.4850415187369966e-06,8.100226465838163e-07,1.0800301954450885e-06,1.7550490675982686e-06,8.100226465838163e-07,1.2825358570910424e-06
51,12.875,1.3500377443063605e-06,6.750188721531802e-07,9.450264210144524e-07,3.375094360765901e-06,2.273463561411911e-06,2.835079263043357e-06
52,13.125,1.7550490675982686e-06,9.450264210144524e-07,1.3500377443063605e-06,1.4872015791278867e-05,1.2128739094848343e-05,1.3297871781417651e-05
53,13.375,5.13014342836417e-06,3.240090586335265e-06,4.050113232919082e-06,6.43968004034134e-05,5.8321630554034774e-05,6.0684196606570905e-05
54,13.625,7.209201554595965e-05,6.626525264153339e-05,6.932443817013161e-05,0.00023585159393032119,0.00022473808321919124,0.000230721450501957
55,13.875,0.0002921697684718053,0.0002801112313396609,0.00028519547348471863,0.0007402688964109952,0.0007229074110192155,0.0007323954762862005
56,14.125,0.0010225185875376375,0.0009999513566038122,0.0010110432667110333,0.0019539312279385043,0.0019226913545352553,0.0019358191215608903
57,14.375,0.0031155685049514235,0.0030708876557658605,0.0030913839287999194,0.004250183426474307,0.004209104477990553,0.004228858230265244
58,14.625,0.007421724496304672,0.007362857450501938,0.0073901741142202325,0.007508569724320412,0.0074444699322207455,0.007473268937382289
59,14.875,0.011772302129596578,0.011688464785675153,0.011735000586721393,0.01097786971888401,0.010897013258302014,0.010938748325129501
60,15.125,0.014402316059430775,0.01432626573321851,0.014368316708878164,0.013916480676462735,0.013830780280454166,0.013878455513356602
61,15.375,0.01643830258146822,0.016352882993310468,0.016406063680134184,0.01622233974358702,0.016123862590366335,0.016171629625835383
62,15.625,0.01832439171267984,0.018221794244263536,0.0182697232842619,0.01806234938650998,0.01796452565155754,0.018008558482625836
63,15.875,0.01971207930959942,0.019607840195286035,0.019658372108055423,0.019541375137058344,0.019445495456457705,0.01950224024292639
64,16.125,0.020957931941102168,0.020859179380181645,0.020912894681952107,0.02074225531122276,0.020659298191910622,0.02070093875609601
65,16.375,0.021884403443358874,0.02180889853239531,0.021843745706651343,0.021689274387947807,0.02160065251026056,0.021646370188433753
66,16.625,0.02247821484511654,0.02236061035713452,0.022425611974447385,0.022400360868477878,0.022287146703240345,0.022347444789052047
67,16.875,0.02301412582809639,0.02290484297277028,0.02295550178908763,0.02292973226862431,0.022830720500456883,0.02288070969805306
68,17.125,0.023451840465706378,0.023345435890851127,0.023395411588069858,0.0233075754323498,0.02321373700881855,0.02326000280231593
69,17.375,0.023619963366080333,0.02351988776817039,0.023568013913679426,0.023595619485475006,0.023478171601871326,0.023533047936101892
70,17.625,0.02393195168863856,0.02381307276502592,0.02387420247408811,0.02371795450571307,0.023605852771576844,0.02365968147651783
71,17.875,0.023766026649712328,0.02366351558371166,0.02371530303158325,0.0236417151742166,0.023527226573348443,0.023587521959084656
72,18.125,0.023438642496718037,0.02332900323142743,0.02338022366344641,0.023516582875772334,0.023407948038563487,0.023462778471510747
73,18.375,0.022824337522001803,0.022707013841870603,0.0227619063765541,0.02395450271911945,0.02385510214008166,0.023912138534703118
74,18.625,0.023612084545804563,0.023498341165771267,0.0235559985777551,0.02608447346876453,0.025963569488535426,0.026016509868640656
75,18.875,0.028592703193760338,0.028458860451789806,0.02853966291086203,0.03076296986999747,0.030603816620396684,0.030693175618692323
76,19.125,0.037038058708703955,0.03688331738245156,0.036954178163574714,0.03740888167615905,0.03727642137283869,0.0373352938187924
77,19.375,0.04722795459744416,0.047098496778067135,0.04716775371435005,0.043369363119083355,0.04322622131713005,0.04329010780326611
78,19.625,0.051633284361494156,0.051469935194584066,0.05153958094173734,0.044996369206860634,0.04485428583449885,0.04492743357956086
79,19.875,0.04318248549436549,0.04303837166523628,0.043103330081341325,0.04086774857903465,0.04071961703757838,0.04080840091979494
80,20.125,0.032860091501248086,0.03275245569197003,0.03280983229610305,0.03311739249485995,0.03297341366950516,0.03303117098428208
81,20.375,0.023206311801224865,0.023103514527222403,0.02315652240921485,0.024864249953799693,0.024752045616794897,0.02480626853275722
82,20.625,0.016563564483535943,0.0164729499501381,0.016514066699678694,0.018155237383469233,0.01805371994524837,0.018103533637937787
83,20.875,0.012134339051411725,0.012045803576140114,0.012084390354947879,0.01342469432711779,0.013343384253853707,0.013386501759331364
84,21.125,0.009575434309645633,0.00948781145988917,0.009532076497449488,0.010403833670004947,0.0103469376793089,0.010374837559332734
85,21.375,0.008112171599799786,0.008050869085906322,0.008080583416658505,0.008600539653576145,0.00853611045226687,0.00856538197063892
86,21.625,0.00725695508968757,0.007188616179070781,0.007226819547159163,0.0075432656943490856,0.007481730973963601,0.007515322613117432
87,21.875,0.006858413147266378,0.006802532384954049,0.00683659113716741,0.006865341540970158,0.00681650257553213,0.006843138820227295
88,22.125,0.006480877792146593,0.006423074576086371,0.0064572305310173226,0.006206933533222923,0.006156690528530817,0.0061809453066450255
89,22.375,0.005782119856297529,0.005735435551099415,0.005757438466256121,0.005244534826514736,0.005190700721422776,0.005222216002525864
90,22.625,0.004020547406318772,0.00397319888255046,0.003991049081605678,0.003850642456122328,0.0038090072920879204,0.0038344447032661404
91,22.875,0.0018926395143469958,0.0018583107545847735,0.0018758099438264727,0.0023557402617009177,0.002328145490207296,0.0023434630184541957
92,23.125,0.0007557943304705184,0.0007359541757801921,0.0007452883367443263,0.001201825200585431,0.001178231940965933,0.001190530784816564
93,23.375,0.00029432982886269546,0.0002825412992794124,0.00028890807728156113,0.000538956668131008,0.0005221729988937914,0.0005302948259635384
94,23.625,0.0001371638348215262,0.00012946861967897996,0.00013351873291189906,0.00022817797939168384,0.00021767468574098033,0.00022343124668270265
95,23.875,6.243654559868056e-05,5.751160790745096e-05,5.980667207277177e-05,0.00010059941255473276,9.340101130209124e-05,9.646019683068945e-05
96,24.125,2.8642400783203745e-05,2.5494112763481312e-05,2.6595743562835302e-05,4.482125311097117e-05,4.0501132329190815e-05,4.245868705843504e-05
97,24.375,1.363538121749424e-05,1.118371267383389e-05,1.2420347247618517e-05,1.9980558615734136e-05,1.7550490675982687e-05,1.876552464585841e-05
98,24.625,4.8601358795028975e-06,3.5100981351965372e-06,4.320120781780354e-06,9.045252886852615e-06,6.998595666484173e-06,8.100226465838163e-06
99,24.875,2.4516685436603504e-06,1.4850415187369966e-06,1.9575547292442226e-06,4.050113232919082e-06,2.700075488612721e-06,3.375094360765901e-06
100,25.125,8.100226465838163e-07,2.700075488612721e-07,5.400150977225442e-07,1.7550490675982686e-06,9.450264210144524e-07,1.3500377443063605e-06
101,25.375,2.700075488612721e-07,0.0,1.3500377443063606e-07,6.750188721531802e-07,1.3500377443063606e-07,4.0501132329190813e-07
102,25.625,0.0,0.0,0.0,2.700075488612721e-07,0.0,1.3500377443063606e-07
