,xmf,upp_noerr,low_noerr,med_noerr,upp_err,low_err,med_err
0,0.125,0.0,0.0,0.0,0.0,0.0,0.0
1,0.375,0.0,0.0,0.0,0.0,0.0,0.0
2,0.625,0.0,0.0,0.0,0.0,0.0,0.0
3,0.875,0.0,0.0,0.0,0.0,0.0,0.0
4,1.125,0.0,0.0,0.0,0.0,0.0,0.0
5,1.375,0.0,0.0,0.0,0.0,0.0,0.0
6,1.625,0.0,0.0,0.0,0.0,0.0,0.0
7,1.875,0.0,0.0,0.0,0.0,0.0,0.0
8,2.125,0.0,0.0,0.0,0.0,0.0,0.0
9,2.375,0.0,0.0,0.0,0.0,0.0,0.0
10,2.625,0.0,0.0,0.0,0.0,0.0,0.0
11,2.875,0.0,0.0,0.0,0.0,0.0,0.0
12,3.125,0.0,0.0,0.0,0.0,0.0,0.0
13,3.375,0.0,0.0,0.0,0.0,0.0,0.0
14,3.625,0.0,0.0,0.0,0.0,0.0,0.0
15,3.875,0.0,0.0,0.0,0.0,0.0,0.0
16,4.125,0.0,0.0,0.0,0.0,0.0,0.0
17,4.375,0.0,0.0,0.0,0.0,0.0,0.0
18,4.625,0.0,0.0,0.0,0.0,0.0,0.0
19,4.875,0.0,0.0,0.0,0.0,0.0,0.0
20,5.125,0.0,0.0,0.0,0.0,0.0,0.0
21,5.375,0.0,0.0,0.0,0.0,0.0,0.0
22,5.625,0.0,0.0,0.0,0.0,0.0,0.0
23,5.875,0.0,0.0,0.0,0.0,0.0,0.0
24,6.125,0.0,0.0,0.0,0.0,0.0,0.0
25,6.375,0.0,0.0,0.0,0.0,0.0,0.0
26,6.625,0.0,0.0,0.0,0.0,0.0,0.0
27,6.875,0.0,0.0,0.0,0.0,0.0,0.0
28,7.125,0.0,0.0,0.0,0.0,0.0,0.0
29,7.375,0.0,0.0,0.0,1.3500377443063606e-07,0.0,0.0
30,7.625,2.700075488612721e-07,0.0,1.3500377443063606e-07,1.3500377443063606e-07,0.0,0.0
31,7.875,0.0,0.0,0.0,1.3500377443063606e-07,0.0,1.3500377443063606e-07
32,8.125,4.0501132329190813e-07,1.3500377443063606e-07,2.700075488612721e-07,2.700075488612721e-07,0.0,1.3500377443063606e-07
33,8.375,4.0501132329190813e-07,1.3500377443063606e-07,2.700075488612721e-07,4.2661192720080947e-07,0.0,2.700075488612721e-07
34,8.625,4.0501132329190813e-07,1.3500377443063606e-07,2.700075488612721e-07,5.400150977225442e-07,1.3500377443063606e-07,4.0501132329190813e-07
35,8.875,4.0501132329190813e-07,1.3500377443063606e-07,2.700075488612721e-07,6.750188721531802e-07,1.3500377443063606e-07,4.0501132329190813e-07
36,9.125,8.100226465838163e-07,2.700075488612721e-07,5.400150977225442e-07,6.750188721531802e-07,1.3500377443063606e-07,4.0501132329190813e-07
37,9.375,6.966194760620815e-07,2.700075488612721e-07,5.400150977225442e-07,6.750188721531802e-07,2.700075488612721e-07,4.0501132329190813e-07
38,9.625,9.450264210144524e-07,4.0501132329190813e-07,6.750188721531802e-07,8.100226465838163e-07,2.700075488612721e-07,5.400150977225442e-07
39,9.875,8.100226465838163e-07,2.700075488612721e-07,5.400150977225442e-07,8.100226465838163e-07,2.700075488612721e-07,5.400150977225442e-07
40,10.125,5.400150977225442e-07,1.3500377443063606e-07,4.0501132329190813e-07,9.450264210144524e-07,2.700075488612721e-07,5.400150977225442e-07
41,10.375,9.450264210144524e-07,2.700075488612721e-07,6.075169849378622e-07,9.666270249233536e-07,4.0501132329190813e-07,6.750188721531802e-07
42,10.625,9.450264210144524e-07,2.700075488612721e-07,6.750188721531802e-07,1.2150339698757244e-06,5.400150977225442e-07,8.775245337991343e-07
43,10.875,1.4850415187369966e-06,8.100226465838163e-07,1.0800301954450885e-06,1.3500377443063605e-06,6.750188721531802e-07,9.450264210144524e-07
44,11.125,2.046657220368442e-06,1.0584295915361867e-06,1.3500377443063605e-06,1.4850415187369966e-06,6.750188721531802e-07,1.0800301954450885e-06
45,11.375,1.0800301954450885e-06,5.400150977225442e-07,8.100226465838163e-07,1.3500377443063605e-06,6.750188721531802e-07,1.0800301954450885e-06
46,11.625,1.6200452931676325e-06,8.100226465838163e-07,1.2150339698757244e-06,1.3500377443063605e-06,5.400150977225442e-07,9.450264210144524e-07
47,11.875,1.4850415187369966e-06,6.750188721531802e-07,1.0800301954450885e-06,1.3716383482152619e-06,8.100226465838163e-07,1.0800301954450885e-06
48,12.125,1.2150339698757244e-06,6.750188721531802e-07,9.450264210144524e-07,1.4850415187369966e-06,8.100226465838163e-07,1.0800301954450885e-06
49,12.375,1.7550490675982686e-06,9.450264210144524e-07,1.3500377443063605e-06,1.6200452931676325e-06,9.450264210144524e-07,1.2150339698757244e-06
50,12.625,1.7550490675982686e-06,8.100226465838163e-07,1.2150339698757244e-06,3.375094360765901e-06,2.160060390890177e-06,2.835079263043357e-06
51,12.875,1.6200452931676325e-06,9.450264210144524e-07,1.2825358570910424e-06,1.9057132798628584e-05,1.5773841004475516e-05,1.748298878876737e-05
52,13.125,8.100226465838163e-07,2.700075488612721e-07,5.400150977225442e-07,0.000106426175459159,9.976778930424005e-05,0.00010307538177779063
53,13.375,5.400150977225442e-05,4.8174746867828166e-05,5.1098928621995744e-05,0.00042613671391481407,0.0004089534335052827,0.0004164866441185122
54,13.625,0.0006545414996475414,0.000637045010481331,0.0006473430983948999,0.0012880656116917213,0.0012583485808640496,0.0012707905287155771
55,13.875,0.001962706473276496,0.0019304243707346422,0.0019481719669212935,0.003229311884984723,0.0031914244257285097,0.003205732125742668
56,14.125,0.004763705383502583,0.004712803560391256,0.004737147440996588,0.007050388514506742,0.0069873039507907945,0.007017631198678893
57,14.375,0.011359168979234922,0.011272372352577978,0.011316826395422497,0.013181406725291831,0.013103309741859194,0.013139512354010514
58,14.625,0.021846715789688817,0.02173635290416726,0.021791701751608335,0.02054187190891086,0.020432103039996794,0.020496273034059164
59,14.875,0.029630126197995117,0.029514886976141127,0.029576626902263745,0.026844803926055916,0.0267382967483321,0.026801016801857085
60,15.125,0.03267907844049149,0.03254286503224195,0.03261711440810332,0.030480401569963175,0.03037609765383806,0.030435183405755375
61,15.375,0.03211318581928608,0.03200523680125134,0.03207196916695241,0.03173447863140424,0.03160987554775574,0.03168025571544192
62,15.625,0.03195636003475648,0.03182162086772372,0.03188566395823813,0.03165404878274944,0.03153636869265375,0.03160222353382101
63,15.875,0.03123976000007866,0.031117073970027075,0.031172776527357157,0.031058471531622226,0.030943837126677684,0.031006721884807475
64,16.125,0.03034584060791267,0.030227393696378203,0.030290999374663456,0.030129521360066972,0.029998141086942053,0.030049275116545402
65,16.375,0.029120719156011488,0.028994544628428615,0.029069417721727844,0.028907467193920854,0.028796974704775845,0.02886117439966859
66,16.625,0.027452758323222932,0.027352477519575858,0.027395100911239097,0.027630434090675605,0.02751471425538464,0.027571145833096646
67,16.875,0.0257932109256569,0.025675655039033678,0.02573111188949429,0.026991256020558272,0.026870254837611577,0.026931565451731507
68,17.125,0.025483031653676047,0.025370281901422556,0.025424450815875105,0.028262246354860004,0.0281357478182185,0.02819513327851505
69,17.375,0.029559924235291187,0.02943512134605653,0.029495692139492578,0.03255632760862818,0.032397600970954586,0.032478398029875837
70,17.625,0.039163455530471326,0.0390348023335899,0.03911639861485578,0.03919223833517994,0.03905449128405287,0.03911288851672058
71,17.875,0.04975435043032736,0.04960779573295644,0.049673221262121016,0.04499816745713605,0.044849188091976355,0.04493371125507189
72,18.125,0.05231447560621431,0.05215501994815879,0.052229382727190674,0.04614988465680381,0.04599936084846462,0.04608002830376242
73,18.375,0.04333870106183467,0.04320301146822993,0.04326587462575581,0.04156517267759234,0.04139801100409232,0.04148665988253446
74,18.625,0.03349119094550349,0.0333486377600067,0.03342342445089029,0.03365479391950951,0.033513660973719724,0.03359123414250757
75,18.875,0.023935175578771964,0.023841418157505373,0.02388601530435079,0.025460237616401173,0.02533490551237075,0.025401095162898603
76,19.125,0.017097979624695104,0.017012813843633283,0.01705752439364922,0.018673246865959583,0.018577037776149333,0.01862262315062358
77,19.375,0.012525061575217895,0.012446046566119133,0.012493451791472706,0.013839204515978637,0.013752564493700032,0.013804338441194181
78,19.625,0.009826022915592801,0.00975721959199197,0.009796683895333535,0.01071360253051153,0.010636536975915547,0.010678798557463311
79,19.875,0.008335143833649424,0.00827094143868119,0.008302057108611963,0.00883961513763987,0.008778868839297061,0.008814868945786735
80,20.125,0.007454357608660045,0.007399605477901957,0.007428110174835242,0.007768943403838314,0.00769339529166693,0.0077252534823570715
81,20.375,0.007073025947403271,0.00701228504921144,0.007041796874301977,0.0070460467931210535,0.00699112725768267,0.007023031349656118
82,20.625,0.006625061823238512,0.0065633704984746875,0.006590141746944283,0.00630863457657701,0.006253196626644813,0.006287598288445228
83,20.875,0.00582248598485229,0.0057634947355770785,0.005793619477803531,0.00519763991542851,0.00514695949850725,0.0051687545078513315
84,21.125,0.003651058276155053,0.003609574316348007,0.0036329515699284162,0.0036698724021597064,0.003633205377024346,0.0036550921889350403
85,21.375,0.0015905820694358905,0.0015659087796209476,0.001579206651402365,0.0021439679409780447,0.0021161895643511974,0.0021298195454177143
86,21.625,0.0006239064431537414,0.000607246977389001,0.0006154822076292698,0.001048952326571156,0.0010267955071116,0.0010385840366948832
87,21.875,0.00024626848516538905,0.00023461495935653653,0.00023963169961437899,0.0004549627198312435,0.00043829245376454857,0.00044517494618502237
88,22.125,0.00011560643212044226,0.00010921805351438456,0.00011286315542401173,0.000192515382338087,0.00018185008415806675,0.00018596769927820117
89,22.375,4.997299714324424e-05,4.5183063226445276e-05,4.785883803566048e-05,8.345393320204197e-05,7.612052817496983e-05,7.877470238027613e-05
90,22.625,2.1352196963949397e-05,1.8900528420289047e-05,1.9980558615734136e-05,3.633761592574999e-05,3.2400905863352654e-05,3.4493464367027514e-05
91,22.875,1.0686898783929149e-05,8.370234014699435e-06,9.450264210144524e-06,1.6222053535585228e-05,1.3770384991924878e-05,1.4850415187369965e-05
92,23.125,4.320120781780354e-06,2.700075488612721e-06,3.375094360765901e-06,7.155200044823711e-06,5.400150977225442e-06,6.345177398239894e-06
93,23.375,2.160060390890177e-06,1.0800301954450885e-06,1.4850415187369966e-06,3.240090586335265e-06,2.025056616459541e-06,2.700075488612721e-06
94,23.625,5.400150977225442e-07,0.0,2.700075488612721e-07,1.3500377443063605e-06,6.534182682442784e-07,8.100226465838163e-07
95,23.875,2.700075488612721e-07,0.0,1.3500377443063606e-07,5.400150977225442e-07,1.3500377443063606e-07,2.700075488612721e-07
96,24.125,0.0,0.0,0.0,2.700075488612721e-07,0.0,0.0
97,24.375,0.0,0.0,0.0,0.0,0.0,0.0
98,24.625,0.0,0.0,0.0,0.0,0.0,0.0
99,24.875,0.0,0.0,0.0,0.0,0.0,0.0
100,25.125,0.0,0.0,0.0,0.0,0.0,0.0
101,25.375,0.0,0.0,0.0,0.0,0.0,0.0
