,xmf,upp_noerr,low_noerr,med_noerr,upp_err,low_err,med_err
0,0.125,0.0,0.0,0.0,0.0,0.0,0.0
1,0.375,0.0,0.0,0.0,0.0,0.0,0.0
2,0.625,0.0,0.0,0.0,0.0,0.0,0.0
3,0.875,0.0,0.0,0.0,0.0,0.0,0.0
4,1.125,0.0,0.0,0.0,0.0,0.0,0.0
5,1.375,0.0,0.0,0.0,0.0,0.0,0.0
6,1.625,0.0,0.0,0.0,0.0,0.0,0.0
7,1.875,0.0,0.0,0.0,0.0,0.0,0.0
8,2.125,0.0,0.0,0.0,0.0,0.0,0.0
9,2.375,0.0,0.0,0.0,0.0,0.0,0.0
10,2.625,0.0,0.0,0.0,0.0,0.0,0.0
11,2.875,0.0,0.0,0.0,0.0,0.0,0.0
12,3.125,0.0,0.0,0.0,0.0,0.0,0.0
13,3.375,0.0,0.0,0.0,0.0,0.0,0.0
14,3.625,0.0,0.0,0.0,0.0,0.0,0.0
15,3.875,0.0,0.0,0.0,0.0,0.0,0.0
16,4.125,0.0,0.0,0.0,0.0,0.0,0.0
17,4.375,0.0,0.0,0.0,0.0,0.0,0.0
18,4.625,0.0,0.0,0.0,0.0,0.0,0.0
19,4.875,0.0,0.0,0.0,0.0,0.0,0.0
20,5.125,0.0,0.0,0.0,0.0,0.0,0.0
21,5.375,0.0,0.0,0.0,0.0,0.0,0.0
22,5.625,0.0,0.0,0.0,0.0,0.0,0.0
23,5.875,0.0,0.0,0.0,0.0,0.0,0.0
24,6.125,0.0,0.0,0.0,0.0,0.0,0.0
25,6.375,0.0,0.0,0.0,0.0,0.0,0.0
26,6.625,0.0,0.0,0.0,0.0,0.0,0.0
27,6.875,0.0,0.0,0.0,0.0,0.0,0.0
28,7.125,0.0,0.0,0.0,0.0,0.0,0.0
29,7.375,0.0,0.0,0.0,2.1600603908901308e-08,0.0,0.0
30,7.625,0.0,0.0,0.0,1.3500377443063606e-07,0.0,0.0
31,7.875,2.700075488612721e-07,0.0,1.3500377443063606e-07,2.700075488612721e-07,0.0,1.3500377443063606e-07
32,8.125,2.700075488612721e-07,0.0,1.3500377443063606e-07,2.700075488612721e-07,0.0,1.3500377443063606e-07
33,8.375,4.0501132329190813e-07,1.3500377443063606e-07,2.700075488612721e-07,4.0501132329190813e-07,1.3500377443063606e-07,1.3500377443063606e-07
34,8.625,2.700075488612721e-07,0.0,1.3500377443063606e-07,5.400150977225442e-07,1.3500377443063606e-07,2.700075488612721e-07
35,8.875,9.450264210144524e-07,2.700075488612721e-07,5.400150977225442e-07,5.400150977225442e-07,1.3500377443063606e-07,2.700075488612721e-07
36,9.125,6.750188721531802e-07,1.3500377443063606e-07,4.0501132329190813e-07,6.750188721531802e-07,1.3500377443063606e-07,4.0501132329190813e-07
37,9.375,4.0501132329190813e-07,0.0,2.700075488612721e-07,6.750188721531802e-07,2.484069449523703e-07,4.0501132329190813e-07
38,9.625,1.2150339698757244e-06,5.184144938136424e-07,8.100226465838163e-07,8.100226465838163e-07,2.700075488612721e-07,5.400150977225442e-07
39,9.875,5.400150977225442e-07,2.700075488612721e-07,4.0501132329190813e-07,8.100226465838163e-07,2.700075488612721e-07,5.400150977225442e-07
40,10.125,6.750188721531802e-07,1.3500377443063606e-07,4.0501132329190813e-07,6.750188721531802e-07,2.700075488612721e-07,4.0501132329190813e-07
41,10.375,1.3500377443063605e-06,5.400150977225442e-07,9.450264210144524e-07,8.100226465838163e-07,2.700075488612721e-07,5.400150977225442e-07
42,10.625,6.750188721531802e-07,2.700075488612721e-07,4.0501132329190813e-07,1.0800301954450885e-06,4.0501132329190813e-07,7.425207593684983e-07
43,10.875,1.4850415187369966e-06,6.750188721531802e-07,9.450264210144524e-07,1.3500377443063605e-06,5.400150977225442e-07,9.450264210144524e-07
44,11.125,1.5066421226458978e-06,6.750188721531802e-07,1.0800301954450885e-06,1.3500377443063605e-06,6.750188721531802e-07,9.450264210144524e-07
45,11.375,1.3716383482152619e-06,8.100226465838163e-07,1.0800301954450885e-06,1.4850415187369966e-06,6.750188721531802e-07,1.0800301954450885e-06
46,11.625,1.6200452931676325e-06,8.100226465838163e-07,1.2150339698757244e-06,1.4850415187369966e-06,6.750188721531802e-07,1.0800301954450885e-06
47,11.875,1.3500377443063605e-06,6.750188721531802e-07,1.0800301954450885e-06,1.3716383482152619e-06,8.100226465838163e-07,1.0800301954450885e-06
48,12.125,1.0800301954450885e-06,4.0501132329190813e-07,6.750188721531802e-07,1.4850415187369966e-06,8.100226465838163e-07,1.0800301954450885e-06
49,12.375,1.911653445937806e-06,1.2150339698757244e-06,1.4850415187369966e-06,1.6200452931676325e-06,9.234258171055505e-07,1.2150339698757244e-06
50,12.625,1.6200452931676325e-06,8.100226465838163e-07,1.2150339698757244e-06,3.240090586335265e-06,2.025056616459541e-06,2.565071714182085e-06
51,12.875,1.0800301954450885e-06,4.0501132329190813e-07,8.100226465838163e-07,1.6648665462786035e-05,1.3905388766355513e-05,1.5255426510661874e-05
52,13.125,1.4850415187369966e-06,8.100226465838163e-07,1.0800301954450885e-06,9.207257416169378e-05,8.518738166573135e-05,8.775245337991343e-05
53,13.375,4.6576302178569435e-05,4.185117007349717e-05,4.4146234238817986e-05,0.0003724052116914209,0.00035771680103336773,0.0003651177079476552
54,13.625,0.0005578787971552059,0.0005403985084419272,0.0005487903430605356,0.0011439733831664148,0.001122108171859629,0.001133019176909113
55,13.875,0.001736348344764137,0.001707344133865459,0.0017214331277650402,0.0029341666333244664,0.0028936385002403895,0.002913448954100341
56,14.125,0.004316869890892063,0.004267291104770157,0.004289744932533461,0.006505875091020169,0.00644684064053714,0.006478291119828501
57,14.375,0.010477189320879576,0.010405912728131177,0.01044409449561565,0.012274867180292063,0.012200890512055052,0.012234649555889177
58,14.625,0.020500404149556742,0.020396618647925448,0.02045597440739162,0.01925064180874648,0.019171615999345765,0.01920988956939685
59,14.875,0.02791809473308143,0.027765799675221716,0.02783595573664234,0.02528142241709231,0.025166247997050046,0.025219447584402182
60,15.125,0.030791245060514224,0.03067313295834035,0.030719096343383004,0.028821615593684926,0.02870692718723061,0.028773691953837537
61,15.375,0.030571442715288215,0.030445500394197366,0.030505250364684877,0.030158098959038447,0.03004768207200712,0.03010536918482133
62,15.625,0.03051315888579102,0.030407602134639198,0.0304656942587767,0.030316830996863015,0.030195765012104595,0.03024280302719172
63,15.875,0.03019295693359644,0.030060134820160605,0.030125822256647575,0.029994782193034218,0.029882043241082686,0.029925139145956434
64,16.125,0.0295705679328673,0.029474450645623665,0.029523097905701998,0.029405744524740422,0.0292782307597152,0.029339627776250765
65,16.375,0.0288192503275569,0.0287138771815383,0.028763971682078532,0.02852856560060383,0.02838864768878392,0.02844597029140717
66,16.625,0.02743365258906551,0.02732547136453875,0.02737329780166855,0.027401640494072517,0.027279607882289177,0.02734514951469976
67,16.875,0.02588180040243828,0.025765621554314253,0.025828517112745995,0.02644499834830605,0.026335056674560722,0.026393035395527703
68,17.125,0.02481942330053774,0.024696661668372477,0.02476002974001473,0.026628635882437583,0.026511614610761108,0.02657758555517438
69,17.375,0.02608805376886243,0.025970519482843117,0.026020897491309654,0.029272911611002633,0.029161247289095565,0.029219879428330788
70,17.625,0.03326967135226672,0.03314695832146026,0.033212953566552926,0.03487949955978545,0.034721015928905835,0.03479276773494023
71,17.875,0.04287688555041333,0.042737696658975345,0.04282191471354067,0.04164676355870724,0.04151299641885039,0.04158190504539527
72,18.125,0.052657363592664215,0.05249787553370284,0.052605233235205565,0.045929893306293594,0.04578934357680935,0.04586503479298163
73,18.375,0.048831259422582395,0.04867064273206678,0.04875607312052649,0.044599053098711275,0.04446006401285944,0.044524919826095924
74,18.625,0.0391897326651265,0.039040364489096445,0.03910985093179589,0.038260550287079226,0.03813678962698318,0.03820363809593025
75,18.875,0.02891378537056421,0.02879447443487339,0.028854356709059843,0.02989598643090588,0.029777102107142264,0.029833539085005245
76,19.125,0.020424337622891545,0.020319601694688254,0.020365791886071957,0.0221309473362241,0.022027512844406325,0.022079462296807233
77,19.375,0.014752256643056938,0.014659822258779771,0.014709741254413242,0.01620564247676544,0.016116939596813533,0.01615657670498637
78,19.625,0.011061291251180189,0.010981325815509436,0.011021573140742697,0.01218863216933675,0.012105070233115163,0.012155604845960039
79,19.875,0.009020093583449722,0.008954649153756728,0.00898693125629858,0.00969475064548743,0.009631244869995257,0.009661342611466823
80,20.125,0.007803369366318126,0.007726158007645756,0.007761231988242836,0.008231622939416013,0.008179160472672267,0.00820161430043557
81,20.375,0.007203590797730628,0.0071431307073896114,0.007176058127973244,0.007363149058654708,0.007312322837657061,0.007339952710132036
82,20.625,0.006846171005001007,0.006783243045663399,0.00680905036718356,0.006712090656387478,0.006656836311588506,0.006684036872060791
83,20.875,0.006334252892812967,0.006267280220393417,0.006301368673437153,0.005879084967244589,0.005820957742125735,0.0058540336668612405
84,21.125,0.00509252057650584,0.005049232966272401,0.0050674341751411394,0.004610983713715671,0.004567744704841026,0.00458256811927351
85,21.375,0.0027490440576742013,0.0027141914832671883,0.0027303163340851836,0.0030439733032953686,0.003007932695673366,0.003030767234080564
86,21.625,0.0011192892930495173,0.001094318994930827,0.0011069634484440003,0.001664461534955312,0.001629900568701069,0.0016467760405048984
87,21.875,0.0004335187203006812,0.0004190517158326943,0.00042816447060676225,0.0007709147532067496,0.0007522410311275041,0.000760071250044481
88,22.125,0.00019143535214264192,0.0001801004352414457,0.00018549518606769393,0.0003275407573726319,0.00031550382084439643,0.00032218650767871295
89,22.375,8.304892187875006e-05,7.708715519989318e-05,8.025974389901313e-05,0.00013806025988374564,0.00013133707191709997,0.0001348012687689901
90,22.625,3.834107193830064e-05,3.496597757753474e-05,3.6046007772979824e-05,6.14483179698483e-05,5.704179477243234e-05,5.9266656975049224e-05
91,22.875,1.7302083731030316e-05,1.4580407638508693e-05,1.606544915724569e-05,2.700075488612721e-05,2.3739063695883045e-05,2.524570581852894e-05
92,23.125,6.771789325440704e-06,5.243546598885905e-06,5.9401660749479864e-06,1.2150339698757244e-05,9.990279307867068e-06,1.1205313277742793e-05
93,23.375,3.1050868119046293e-06,1.8900528420289047e-06,2.565071714182085e-06,5.13014342836417e-06,3.7801056840578095e-06,4.45512455621099e-06
94,23.625,1.6200452931676325e-06,9.450264210144524e-07,1.2150339698757244e-06,2.2950641653208126e-06,1.2150339698757244e-06,1.8900528420289047e-06
95,23.875,2.700075488612721e-07,0.0,1.3500377443063606e-07,9.450264210144524e-07,4.0501132329190813e-07,5.400150977225442e-07
96,24.125,2.700075488612721e-07,0.0,1.3500377443063606e-07,4.0501132329190813e-07,0.0,2.0250566164595406e-07
97,24.375,0.0,0.0,0.0,1.3500377443063606e-07,0.0,0.0
98,24.625,0.0,0.0,0.0,0.0,0.0,0.0
99,24.875,0.0,0.0,0.0,0.0,0.0,0.0
100,25.125,0.0,0.0,0.0,0.0,0.0,0.0
