,xmf,upp_noerr,low_noerr,med_noerr,upp_err,low_err,med_err
0,0.125,0.0,0.0,0.0,0.0,0.0,0.0
1,0.375,0.0,0.0,0.0,0.0,0.0,0.0
2,0.625,0.0,0.0,0.0,0.0,0.0,0.0
3,0.875,0.0,0.0,0.0,0.0,0.0,0.0
4,1.125,0.0,0.0,0.0,0.0,0.0,0.0
5,1.375,0.0,0.0,0.0,0.0,0.0,0.0
6,1.625,0.0,0.0,0.0,0.0,0.0,0.0
7,1.875,0.0,0.0,0.0,0.0,0.0,0.0
8,2.125,0.0,0.0,0.0,0.0,0.0,0.0
9,2.375,0.0,0.0,0.0,0.0,0.0,0.0
10,2.625,0.0,0.0,0.0,0.0,0.0,0.0
11,2.875,0.0,0.0,0.0,0.0,0.0,0.0
12,3.125,0.0,0.0,0.0,0.0,0.0,0.0
13,3.375,0.0,0.0,0.0,0.0,0.0,0.0
14,3.625,0.0,0.0,0.0,0.0,0.0,0.0
15,3.875,0.0,0.0,0.0,0.0,0.0,0.0
16,4.125,0.0,0.0,0.0,0.0,0.0,0.0
17,4.375,0.0,0.0,0.0,0.0,0.0,0.0
18,4.625,0.0,0.0,0.0,0.0,0.0,0.0
19,4.875,0.0,0.0,0.0,0.0,0.0,0.0
20,5.125,0.0,0.0,0.0,0.0,0.0,0.0
21,5.375,0.0,0.0,0.0,0.0,0.0,0.0
22,5.625,0.0,0.0,0.0,0.0,0.0,0.0
23,5.875,0.0,0.0,0.0,0.0,0.0,0.0
24,6.125,0.0,0.0,0.0,0.0,0.0,0.0
25,6.375,0.0,0.0,0.0,0.0,0.0,0.0
26,6.625,0.0,0.0,0.0,0.0,0.0,0.0
27,6.875,0.0,0.0,0.0,0.0,0.0,0.0
28,7.125,0.0,0.0,0.0,0.0,0.0,0.0
29,7.375,0.0,0.0,0.0,0.0,0.0,0.0
30,7.625,1.5660437833953735e-07,0.0,1.3500377443063606e-07,1.3500377443063606e-07,0.0,0.0
31,7.875,0.0,0.0,0.0,2.700075488612721e-07,0.0,1.3500377443063606e-07
32,8.125,4.0501132329190813e-07,1.1340317052173427e-07,2.700075488612721e-07,2.700075488612721e-07,0.0,1.3500377443063606e-07
33,8.375,4.0501132329190813e-07,1.3500377443063606e-07,2.700075488612721e-07,5.400150977225442e-07,0.0,2.700075488612721e-07
34,8.625,4.0501132329190813e-07,1.3500377443063606e-07,2.700075488612721e-07,5.400150977225442e-07,1.3500377443063606e-07,2.700075488612721e-07
35,8.875,4.2661192720080947e-07,1.3500377443063606e-07,2.700075488612721e-07,5.400150977225442e-07,1.3500377443063606e-07,4.0501132329190813e-07
36,9.125,8.100226465838163e-07,2.700075488612721e-07,5.400150977225442e-07,6.750188721531802e-07,1.3500377443063606e-07,2.700075488612721e-07
37,9.375,8.100226465838163e-07,2.700075488612721e-07,5.400150977225442e-07,8.100226465838163e-07,2.700075488612721e-07,4.0501132329190813e-07
38,9.625,1.0800301954450885e-06,4.0501132329190813e-07,6.750188721531802e-07,8.100226465838163e-07,2.700075488612721e-07,5.400150977225442e-07
39,9.875,9.450264210144524e-07,2.700075488612721e-07,5.400150977225442e-07,8.100226465838163e-07,2.700075488612721e-07,5.400150977225442e-07
40,10.125,6.750188721531802e-07,1.3500377443063606e-07,4.0501132329190813e-07,9.450264210144524e-07,4.0501132329190813e-07,6.075169849378622e-07
41,10.375,9.450264210144524e-07,4.0501132329190813e-07,6.750188721531802e-07,9.450264210144524e-07,4.0501132329190813e-07,6.750188721531802e-07
42,10.625,1.0800301954450885e-06,4.0501132329190813e-07,6.750188721531802e-07,1.2150339698757244e-06,5.400150977225442e-07,8.100226465838163e-07
43,10.875,1.4850415187369966e-06,6.750188721531802e-07,1.0800301954450885e-06,1.2150339698757244e-06,5.400150977225442e-07,9.450264210144524e-07
44,11.125,1.8900528420289047e-06,1.2150339698757244e-06,1.4850415187369966e-06,1.3500377443063605e-06,6.534182682442784e-07,9.450264210144524e-07
45,11.375,1.0800301954450885e-06,4.0501132329190813e-07,6.750188721531802e-07,1.4850415187369966e-06,7.884220426749145e-07,1.0800301954450885e-06
46,11.625,1.6200452931676325e-06,8.100226465838163e-07,1.2150339698757244e-06,1.5066421226458978e-06,7.884220426749145e-07,1.0800301954450885e-06
47,11.875,1.4850415187369966e-06,6.750188721531802e-07,1.0800301954450885e-06,1.4850415187369966e-06,6.750188721531802e-07,1.0800301954450885e-06
48,12.125,1.2150339698757244e-06,5.400150977225442e-07,8.100226465838163e-07,1.4850415187369966e-06,8.100226465838163e-07,1.0800301954450885e-06
49,12.375,1.77664967150717e-06,1.0584295915361867e-06,1.3500377443063605e-06,1.6200452931676325e-06,8.100226465838163e-07,1.2150339698757244e-06
50,12.625,1.7550490675982686e-06,8.100226465838163e-07,1.1475320826604063e-06,3.5316987391054384e-06,2.273463561411911e-06,2.835079263043357e-06
51,12.875,1.6200452931676325e-06,9.450264210144524e-07,1.2150339698757244e-06,1.9057132798628584e-05,1.6200452931676327e-05,1.782049822484396e-05
52,13.125,9.450264210144524e-07,4.0501132329190813e-07,5.400150977225442e-07,0.00010656117923358964,9.853115473045541e-05,0.00010233286101842212
53,13.375,5.4136513546685054e-05,4.871476196555071e-05,5.177394749414892e-05,0.00042339343721838356,0.0004100334637007278,0.00041662164789294285
54,13.625,0.0006545631002514502,0.0006347229455611241,0.0006461280644250242,0.0012805324010784918,0.0012602602343099875,0.0012706555249411464
55,13.875,0.001966756586509415,0.0019308401823598885,0.0019482394688085088,0.0032274002315387856,0.003187395913099499,0.00320930972576508
56,14.125,0.004764769213245096,0.004709925279920395,0.0047414000598911534,0.007048925073591914,0.006992504296181862,0.007019521251520921
57,14.375,0.011345641601036972,0.0112719403404998,0.011314193821821101,0.013177934428213474,0.013093233060135693,0.013135732248326457
58,14.625,0.021852704557122557,0.021749243064549898,0.02180054449883354,0.020550447348662692,0.020445900425743607,0.02050599330581817
59,14.875,0.029613045520454157,0.029525881683530757,0.029563801543692834,0.026851618916589177,0.026732734592825557,0.026795954160315934
60,15.125,0.03267425610566883,0.03255778564939203,0.032625214634569154,0.030501710565719303,0.030370243890178752,0.030434913398206514
61,15.375,0.0321419200226359,0.03199393968540699,0.03206859407259164,0.03173405201947704,0.03160600903965605,0.03167404554181811
62,15.625,0.031951618702198474,0.03182492576012179,0.03188498893936598,0.0316552908174742,0.03152020604077891,0.031601548514948855
63,15.875,0.03124581356932413,0.03111381767898781,0.031181956784018437,0.0310464075943391,0.030930639157689344,0.03097789857896653
64,16.125,0.03035664090986712,0.03023801039319943,0.0302912018803251,0.03010835276823625,0.030001699786436048,0.030065273063815432
65,16.375,0.02912557929189099,0.02900255845247882,0.02906476009150999,0.028921534587216528,0.028782356496080495,0.028851454127909584
66,16.625,0.02748461921398856,0.027352736726822764,0.027410288835862544,0.027638750323180535,0.027518116350500294,0.027583026165246542
67,16.875,0.02578178420618909,0.025672117940143593,0.025723281670577317,0.026988032130424867,0.02687350032834889,0.026918605089386167
68,17.125,0.025484138684626376,0.02535942759795833,0.025411760461078625,0.02825242348023243,0.028144215254950786,0.028194728267191754
69,17.375,0.029584937734617695,0.029460415653233856,0.029510070041469442,0.03253714087220609,0.032395354508148066,0.03247326788644747
70,17.625,0.03916345013032035,0.03902230098407763,0.03909749808643549,0.03918098982069437,0.039037108198057176,0.039104518282705884
71,17.875,0.04975205536616204,0.04959736804141942,0.049678823918759885,0.04503043335922497,0.04486306647998782,0.044945186575898494
72,18.125,0.05227763577624767,0.052144511254357116,0.05220663459119911,0.046145451132851505,0.04600232013120015,0.04606052025835719
73,18.375,0.04334797852121354,0.043206856375725716,0.04328572018059711,0.04157592977833897,0.041408438695629345,0.041494355097677
74,18.625,0.033473262444259105,0.03336817010609132,0.0334076290092819,0.03365146742650754,0.03352958061880059,0.03358981660287605
75,18.875,0.023940348923408142,0.02382176700809925,0.023884800270380913,0.025462095268337342,0.025337367981216365,0.02540244520064291
76,19.125,0.017086925515644724,0.017001748934280945,0.017051044212476548,0.01868470058618228,0.01857474271198401,0.018625728237435486
77,19.375,0.012528123460821983,0.01244768821201621,0.012491089225420169,0.013839539325339227,0.013751079452181295,0.013789285520345166
78,19.625,0.009825283094908922,0.009761534312622775,0.00979040621982251,0.010718230459899012,0.010644783006457768,0.010681026119741416
79,19.875,0.008336564073356435,0.008273079898468172,0.008305702210521591,0.008847358954141212,0.008767874131907431,0.008810211315568878
80,20.125,0.007450431698899603,0.007382076587829882,0.007418457404963451,0.007759223132079308,0.007699346258043832,0.0077258609993420095
81,20.375,0.007079387325254443,0.007015746545987841,0.0070414593648658996,0.007048568663627418,0.0069852194925135854,0.007019521251520921
82,20.625,0.006627821300387873,0.006573247374612034,0.006597431950763538,0.006319424078229506,0.006259320397852987,0.006286180748813706
83,20.875,0.005824845850829337,0.005767296441865045,0.005795172021209483,0.005196900094744631,0.005144794037965382,0.005170914568242222
84,21.125,0.0036556430043347176,0.003613467825202587,0.0036343691095599377,0.003672939687914771,0.003626881800230015,0.0036528646266569347
85,21.375,0.0015943945760258117,0.0015636623168144219,0.0015775191042219823,0.0021496867008629268,0.0021164595719000588,0.002131912103921389
86,21.625,0.0006241170490418532,0.0006062587497601687,0.0006152797019676238,0.0010510043839425016,0.0010239820284524655,0.0010374365046122228
87,21.875,0.00024518845496994396,0.00023405334365490511,0.0002404417222609628,0.00045376928646527666,0.000439620890904946,0.0004471325009142666
88,22.125,0.00011637325355920828,0.00010854303464223138,0.00011212063466464325,0.00019089533704491938,0.0001800518338826507,0.0001853601822932633
89,22.375,5.049141163705788e-05,4.5361268208693714e-05,4.8061343697306434e-05,8.221729862825735e-05,7.625553194940047e-05,7.965222691407527e-05
90,22.625,2.2027215836102576e-05,1.83605133225665e-05,2.052057371345668e-05,3.645101909627173e-05,3.213089831449138e-05,3.415595493095092e-05
91,22.875,1.0800301954450884e-05,8.50523778913007e-06,9.720271759005795e-06,1.6200452931676327e-05,1.3343773064724068e-05,1.4850415187369965e-05
92,23.125,4.050113232919082e-06,2.813478659134455e-06,3.5100981351965372e-06,7.290203819254347e-06,5.13014342836417e-06,6.345177398239894e-06
93,23.375,2.160060390890177e-06,1.1934333659668226e-06,1.6200452931676325e-06,3.1266874158135305e-06,2.025056616459541e-06,2.565071714182085e-06
94,23.625,5.400150977225442e-07,1.3500377443063606e-07,2.700075488612721e-07,1.2150339698757244e-06,5.400150977225442e-07,8.100226465838163e-07
95,23.875,2.916081527701734e-07,0.0,1.3500377443063606e-07,5.400150977225442e-07,1.3500377443063606e-07,2.700075488612721e-07
96,24.125,0.0,0.0,0.0,1.3500377443063606e-07,0.0,0.0
97,24.375,0.0,0.0,0.0,1.3500377443063606e-07,0.0,0.0
98,24.625,0.0,0.0,0.0,0.0,0.0,0.0
99,24.875,0.0,0.0,0.0,0.0,0.0,0.0
100,25.125,0.0,0.0,0.0,0.0,0.0,0.0
