,xmf,upp_noerr,low_noerr,med_noerr,upp_err,low_err,med_err
0,0.125,0.0,0.0,0.0,0.0,0.0,0.0
1,0.375,0.0,0.0,0.0,0.0,0.0,0.0
2,0.625,0.0,0.0,0.0,0.0,0.0,0.0
3,0.875,0.0,0.0,0.0,0.0,0.0,0.0
4,1.125,0.0,0.0,0.0,0.0,0.0,0.0
5,1.375,0.0,0.0,0.0,0.0,0.0,0.0
6,1.625,0.0,0.0,0.0,0.0,0.0,0.0
7,1.875,0.0,0.0,0.0,0.0,0.0,0.0
8,2.125,0.0,0.0,0.0,0.0,0.0,0.0
9,2.375,0.0,0.0,0.0,0.0,0.0,0.0
10,2.625,0.0,0.0,0.0,0.0,0.0,0.0
11,2.875,0.0,0.0,0.0,0.0,0.0,0.0
12,3.125,0.0,0.0,0.0,0.0,0.0,0.0
13,3.375,0.0,0.0,0.0,0.0,0.0,0.0
14,3.625,0.0,0.0,0.0,0.0,0.0,0.0
15,3.875,0.0,0.0,0.0,0.0,0.0,0.0
16,4.125,0.0,0.0,0.0,0.0,0.0,0.0
17,4.375,0.0,0.0,0.0,0.0,0.0,0.0
18,4.625,0.0,0.0,0.0,0.0,0.0,0.0
19,4.875,0.0,0.0,0.0,0.0,0.0,0.0
20,5.125,0.0,0.0,0.0,0.0,0.0,0.0
21,5.375,0.0,0.0,0.0,0.0,0.0,0.0
22,5.625,0.0,0.0,0.0,0.0,0.0,0.0
23,5.875,0.0,0.0,0.0,0.0,0.0,0.0
24,6.125,0.0,0.0,0.0,0.0,0.0,0.0
25,6.375,0.0,0.0,0.0,0.0,0.0,0.0
26,6.625,0.0,0.0,0.0,0.0,0.0,0.0
27,6.875,0.0,0.0,0.0,0.0,0.0,0.0
28,7.125,0.0,0.0,0.0,0.0,0.0,0.0
29,7.375,0.0,0.0,0.0,0.0,0.0,0.0
30,7.625,0.0,0.0,0.0,0.0,0.0,0.0
31,7.875,0.0,0.0,0.0,0.0,0.0,0.0
32,8.125,0.0,0.0,0.0,1.3500377443063606e-07,0.0,0.0
33,8.375,2.700075488612721e-07,0.0,1.3500377443063606e-07,1.3500377443063606e-07,0.0,0.0
34,8.625,0.0,0.0,0.0,2.700075488612721e-07,0.0,1.3500377443063606e-07
35,8.875,4.0501132329190813e-07,1.3500377443063606e-07,2.700075488612721e-07,4.0501132329190813e-07,0.0,1.3500377443063606e-07
36,9.125,5.400150977225442e-07,0.0,2.700075488612721e-07,4.0501132329190813e-07,0.0,2.700075488612721e-07
37,9.375,5.400150977225442e-07,1.3500377443063606e-07,4.0501132329190813e-07,5.400150977225442e-07,1.3500377443063606e-07,3.375094360765901e-07
38,9.625,4.0501132329190813e-07,1.1340317052173427e-07,2.700075488612721e-07,5.400150977225442e-07,1.3500377443063606e-07,4.0501132329190813e-07
39,9.875,8.100226465838163e-07,2.700075488612721e-07,5.400150977225442e-07,6.750188721531802e-07,2.700075488612721e-07,4.0501132329190813e-07
40,10.125,8.100226465838163e-07,2.700075488612721e-07,5.400150977225442e-07,8.100226465838163e-07,2.700075488612721e-07,5.400150977225442e-07
41,10.375,6.750188721531802e-07,2.700075488612721e-07,4.0501132329190813e-07,8.100226465838163e-07,2.700075488612721e-07,5.400150977225442e-07
42,10.625,8.100226465838163e-07,2.700075488612721e-07,6.075169849378622e-07,8.100226465838163e-07,2.700075488612721e-07,5.400150977225442e-07
43,10.875,6.750188721531802e-07,1.3500377443063606e-07,4.0501132329190813e-07,9.450264210144524e-07,2.700075488612721e-07,6.750188721531802e-07
44,11.125,1.3716383482152619e-06,5.400150977225442e-07,1.0800301954450885e-06,1.1016307993539897e-06,4.0501132329190813e-07,6.750188721531802e-07
45,11.375,1.2366345737846258e-06,6.534182682442784e-07,9.450264210144524e-07,1.3500377443063605e-06,6.534182682442784e-07,9.450264210144524e-07
46,11.625,1.2150339698757244e-06,6.750188721531802e-07,8.775245337991343e-07,1.3500377443063605e-06,6.750188721531802e-07,9.450264210144524e-07
47,11.875,1.4850415187369966e-06,6.750188721531802e-07,1.0800301954450885e-06,1.3500377443063605e-06,6.750188721531802e-07,1.0800301954450885e-06
48,12.125,1.3500377443063605e-06,5.400150977225442e-07,9.450264210144524e-07,1.3500377443063605e-06,6.750188721531802e-07,9.450264210144524e-07
49,12.375,1.6200452931676325e-06,9.450264210144524e-07,1.2150339698757244e-06,1.6200452931676325e-06,8.100226465838163e-07,1.2150339698757244e-06
50,12.625,1.3716383482152619e-06,7.884220426749145e-07,1.0800301954450885e-06,2.9700830374739932e-06,1.7550490675982686e-06,2.4300679397514488e-06
51,12.875,1.3500377443063605e-06,5.400150977225442e-07,9.450264210144524e-07,1.4715411412939329e-05,1.16103246010347e-05,1.296036234534106e-05
52,13.125,2.025056616459541e-06,1.2150339698757244e-06,1.6200452931676325e-06,7.094178338781063e-05,6.532022622051894e-05,6.85819174107631e-05
53,13.375,6.466680795227467e-05,5.884004504784841e-05,6.14267173659394e-05,0.00027581271116178946,0.00026388917780407567,0.00027048006207177933
54,13.625,0.0003749270821977852,0.0003622151267973965,0.0003677502815490526,0.000869062497217822,0.0008446970160085809,0.0008538313713865577
55,13.875,0.0012108596531703291,0.001184074904323291,0.0011966059546659425,0.0023131708715474495,0.0022749810038365115,0.002293646625689291
56,14.125,0.003468786980220763,0.00343245476444599,0.0034517765046425024,0.005212852140731355,0.005160600279875721,0.005187790040046052
57,14.375,0.008796710938125814,0.008727524203805601,0.008765457564345122,0.009704038905168254,0.009644248433548417,0.009677340558736853
58,14.625,0.016096683630497963,0.016010243413805515,0.016050126228847814,0.014836066986223478,0.014766750648279812,0.014800666296492276
59,14.875,0.020697941672303648,0.02060587449829293,0.020653417427496424,0.01909595448400386,0.019017522691210636,0.019054972738237693
60,15.125,0.02259728817416436,0.02248778391264818,0.022539825167615702,0.021831411761819363,0.021729516313030096,0.021774826279804503
61,15.375,0.023713915192782105,0.023603687311034977,0.023671156797344432,0.02337063299531086,0.02325429754280849,0.023310831723389065
62,15.625,0.024430229019458127,0.024298389733500146,0.024363456152624734,0.02424228756499775,0.024131476466945082,0.024201654128969616
63,15.875,0.024919871508865113,0.02481206829490676,0.024858717499123523,0.024834748929011108,0.02473413871615442,0.02479054059303605
64,16.125,0.02530719193755563,0.02521586998437977,0.02526703641488898,0.025193524159636015,0.02510837457902712,0.025147760580179514
65,16.375,0.02565867696436128,0.025537162767071752,0.02558470029612427,0.025426756680342378,0.025313974527183026,0.0253680192381631
66,16.625,0.02553803759153006,0.025427215693175444,0.025481962423782555,0.02541745222020862,0.02531809484237865,0.02536680420419322
67,16.875,0.02543884221822941,0.025324915233062885,0.025372946875929815,0.025191110292149193,0.02508566694416789,0.025136285259352912
68,17.125,0.024835456348789125,0.024712673116019948,0.024773732623119438,0.024749156536022082,0.024655107506602728,0.024703598162302724
69,17.375,0.024171999199878183,0.024059130644303192,0.024113969177476918,0.02434761210965756,0.024225989909348485,0.024288596559702946
70,17.625,0.023357629431757704,0.023244323463953553,0.023293416236487514,0.024560513061934672,0.024446440272691758,0.02450581763276184
71,17.875,0.02405048500258866,0.02392935961616949,0.023981800482309325,0.026611085391761602,0.02649058642285579,0.026551732332370914
72,18.125,0.029062494728175042,0.02893647140481953,0.028991993057091877,0.03129564616254196,0.031178111876522654,0.031235620784354618
73,18.375,0.037695516289879195,0.03758533160933989,0.03764843507358426,0.03798609301381272,0.037840629146939204,0.03790689979973171
74,18.625,0.04807233840469607,0.04793080044758298,0.04800268455731632,0.04385138599546148,0.0437007433838008,0.043787731715817436
75,18.875,0.05162890483905163,0.0514591618933845,0.051555511387120154,0.04519452234681895,0.04506219704727301,0.04513587940728177
76,19.125,0.04297974762622752,0.042833279331272234,0.04289886686496613,0.04081273184087868,0.04068861477081812,0.040751564330759646
77,19.375,0.032605215175424994,0.03247044360748638,0.03253347956984354,0.03290987549310713,0.032786060831501304,0.03285782613791314
78,19.625,0.023001521875715546,0.022887978301268402,0.022944903992794825,0.024701376000175596,0.02457215038729059,0.024627658539185488
79,19.875,0.016454211426247128,0.01637014187583368,0.01641942905380282,0.01801589188765291,0.017921864458837457,0.017967112323875628
80,20.125,0.012058353527011186,0.011967317781837121,0.012016955969619776,0.013350453051482894,0.0132690511756522,0.013308334573936025
81,20.375,0.009546192492103955,0.009460735102889363,0.00950122813499209,0.010358607405570684,0.010290387298275396,0.010325966192988844
82,20.625,0.008087244502888913,0.008027842842139433,0.008052840141013009,0.008586709866923472,0.008516945316448697,0.008550261547902688
83,20.875,0.0072639428850521,0.0072045466244535965,0.007231139667940943,0.0075479638256992715,0.007484274445073874,0.007517212665959461
84,21.125,0.006877945493351002,0.00682180012364079,0.00685474914482833,0.006877292075082758,0.006816124564963725,0.006849821507061612
85,21.375,0.006460513822811475,0.006399810725676484,0.0064315798138755015,0.0061977208756557765,0.006153137229187803,0.006177030197186537
86,21.625,0.0057674044448845895,0.0057148933767820495,0.005748258209594837,0.005195080243865306,0.005149540770674364,0.005171589587114375
87,21.875,0.0038940380693753113,0.003846187331566117,0.0038673856242272156,0.0037800354820951053,0.0037413217997393764,0.003763837729238918
88,22.125,0.0018124580726371522,0.0017793065457879654,0.001795482698040244,0.0022866129290414552,0.0022552164512598663,0.0022725860368781117
89,22.375,0.0007130899365426196,0.00069518303590214,0.0007024921402498147,0.0011549086888952963,0.0011309050178015293,0.0011451695166078703
90,22.625,0.00028139106712126333,0.00027106597845280827,0.0002767577375828039,0.000512630932117034,0.000496749088093014,0.0005056566371299473
91,22.875,0.00013124526935048714,0.0001227886329201521,0.00012805108004745828,0.0002172210730588934,0.00020815421956813188,0.00021296845416432836
92,23.125,6.0076679621633044e-05,5.519494313822124e-05,5.791661923074287e-05,9.465924647978477e-05,8.770925217209562e-05,9.133005340232528e-05
93,23.375,2.6482340392313567e-05,2.2794037274868592e-05,2.457068694637576e-05,4.2547789549559255e-05,3.81844675599611e-05,4.036612855476018e-05
94,23.625,1.3251970498111234e-05,1.118371267383389e-05,1.2015335924326609e-05,1.919213657305922e-05,1.606544915724569e-05,1.7685494450413323e-05
95,23.875,4.590128330641625e-06,3.240090586335265e-06,3.915109458488445e-06,8.640241563560708e-06,6.750188721531802e-06,7.425207593684982e-06
96,24.125,2.4300679397514488e-06,1.4634409148280948e-06,1.9575547292442226e-06,3.6451019096271734e-06,2.4300679397514488e-06,3.1050868119046293e-06
97,24.375,8.100226465838163e-07,2.700075488612721e-07,5.400150977225442e-07,1.6200452931676325e-06,8.100226465838163e-07,1.0800301954450885e-06
98,24.625,2.700075488612721e-07,0.0,1.3500377443063606e-07,6.750188721531802e-07,2.700075488612721e-07,4.0501132329190813e-07
99,24.875,0.0,0.0,0.0,2.700075488612721e-07,0.0,1.3500377443063606e-07
100,25.125,0.0,0.0,0.0,1.3500377443063606e-07,0.0,0.0
101,25.375,0.0,0.0,0.0,0.0,0.0,0.0
