,mid_rad,med_fir,low_fir,upp_fir,mid_mst,med_sfr,low_sfr,upp_sfr,med_qir,low_qir,upp_qir
0,,,,,2.3568741811438135e-05,2.59776660752931e-13,2.326581706751142e-13,2.900560649820385e-13,,,
1,,,,,8.964321364707175e-05,9.355961386992176e-13,4.4375183084684225e-13,1.3020563462246165e-12,,,
2,,,,,0.0003409560772172689,3.0661069896927512e-12,1.986936139731077e-12,4.951962353280627e-12,,,
3,,,,,0.0012968192667553427,9.984129359025382e-12,5.665722922818829e-12,1.8688208246577285e-11,,,
4,65783052503.278885,9.8927508835914e+21,1.5528833693540952e+21,8.010744296630173e+25,0.004932424798975506,4.4396220214908456e-11,2.8646650706466386e-11,6.751034693680606e-11,-1.6013448628928835,-1.8342178661599775,2.6469067027242295
5,229808311740.20145,8.597927822847828e+21,1.80129307249833e+21,1.871575988037148e+26,0.018760373955901768,1.4192000884450236e-10,8.049723755747575e-12,2.8934738523148616e-10,-2.5981046829025267,-2.7678526628010838,-1.6631814441179127
6,802818630866.1986,4.718425518680748e+22,5.311443345881085e+21,1.1055274784338834e+27,0.07135468766566493,4.856079201158297e-10,1.1900961646871607e-10,1.030287298613609e-09,-1.6013448504045797,-2.239473196826,2.520285224558104
7,2804588525042.148,1.7837285601999656e+23,4.294429645134079e+22,1.7179945476379224e+27,0.27139605339598677,1.9731649323402144e-09,1.2111371066576983e-09,3.6850890127481182e-09,-1.8216392327601625,-2.547012512543558,1.0640860723000294
8,9797626129218.5,8.806916266679747e+23,1.2522385468219205e+23,8.524478298235013e+27,1.0322491795358195,6.903105771797116e-09,4.196735756313689e-09,1.5751072790856034e-08,-2.1102772804695498,-2.6852959475370786,2.5903063132597333
9,34227294631929.117,7.904100854347462e+23,2.068890983614595e+23,4.325607890909968e+28,3.9261380381890594,2.277220867817426e-08,6.024128446547288e-09,5.327988180428571e-08,-1.6380939232615468,-2.665232100694686,2.344000048507628
10,119570565601315.52,5.4255393054199315e+28,3.825131372669836e+24,2.763992970635282e+29,14.932983431235698,1.2546468144625168e-07,5.001420499317566e-08,2.230547817958893e-07,-1.6013448657425684,-2.119913153410152,2.640603847517618
11,417711078598696.8,3.796122777233603e+25,5.349254424869362e+24,5.633944276040793e+29,56.79728832469079,4.380706996770465e-07,1.1299113611604288e-07,7.48977053139776e-07,-1.601344795702481,-1.7418292264260504,2.4131069633153217
12,1459243287063342.2,1.3570854209661453e+26,4.0832173209091365e+25,1.054449925246879e+30,216.0272912571706,2.0356891518272856e-06,1.037071883763619e-07,3.3301781575782175e-06,-1.601344857902256,-2.6081093913954443,2.499546395234196
13,5097760341868202.0,6.614862204551709e+26,1.0686009278918031e+26,7.574620364998781e+30,821.6552575736806,7.247836352294991e-06,4.4369405963942854e-07,1.2621665470071018e-05,-1.6013448573371445,-2.4380893815245916,2.6027182521045207
14,1.7808655166351486e+16,1.949628213175635e+27,2.630951515991617e+26,3.004153860182759e+31,3125.148486423297,2.48228042603676e-05,6.025274918135217e-07,4.822556466150148e-05,-1.6013448530356467,-2.4985069838845564,2.6019883636602965
15,6.22132422015325e+16,6.722952745056134e+27,9.927392170244318e+26,1.0512266253393756e+32,11886.436522093347,8.033849969879833e-05,1.95235879116382e-06,0.00018353529025924524,-1.6013448587528387,-2.517909791735396,2.5886180629562467
16,2.1733743896280778e+17,3.888664127197278e+28,6.231250499048268e+27,3.976328483073945e+32,45209.81124818716,0.00022011124736862414,6.332784053820229e-06,0.0006976328675116203,-1.601344840785785,-2.5041388124172967,2.5986509061343646
17,7.592525434038202e+17,8.446003021702342e+29,4.085341470510419e+28,1.126299297675854e+33,171954.56597085675,0.00017061740132412153,2.0445109698763906e-05,0.0026541966735534714,-1.5982718392359434,-2.4600754521755626,2.6100684110261874
18,2.652393565582723e+18,1.386152007900003e+33,2.7299390897103533e+29,5.946405093963662e+33,654025.574137107,0.00028303473520628907,6.865430525823126e-05,0.010098016904245952,-1.2670687834750236,-2.0277268409543816,2.6272100576621487
19,9.265944102346908e+18,6.50403766319995e+33,1.7229294992677626e+30,1.5673311751669644e+34,2487572.5120196384,0.0011764283032221295,0.00023992974564277344,0.0383918543997357,-0.46114160475371513,-1.682782634090331,2.6169596267972617
