,xmf,flux_8p4GHz_med_bres,flux_8p4GHz_upp_bres,flux_8p4GHz_low_bres,flux_8p4GHz_med_dale,flux_8p4GHz_upp_dale,flux_8p4GHz_low_dale,flux_5GHz_med_bres,flux_5GHz_upp_bres,flux_5GHz_low_bres,flux_5GHz_med_dale,flux_5GHz_upp_dale,flux_5GHz_low_dale,flux_3GHz_med_bres,flux_3GHz_upp_bres,flux_3GHz_low_bres,flux_3GHz_med_dale,flux_3GHz_upp_dale,flux_3GHz_low_dale,flux_1p4GHz_med_bres,flux_1p4GHz_upp_bres,flux_1p4GHz_low_bres,flux_1p4GHz_med_dale,flux_1p4GHz_upp_dale,flux_1p4GHz_low_dale,flux_610MHz_med_bres,flux_610MHz_upp_bres,flux_610MHz_low_bres,flux_610MHz_med_dale,flux_610MHz_upp_dale,flux_610MHz_low_dale,flux_325MHz_med_bres,flux_325MHz_upp_bres,flux_325MHz_low_bres,flux_325MHz_med_dale,flux_325MHz_upp_dale,flux_325MHz_low_dale,flux_150MHz_med_bres,flux_150MHz_upp_bres,flux_150MHz_low_bres,flux_150MHz_med_dale,flux_150MHz_upp_dale,flux_150MHz_low_dale
0,-5.875,17.77462848231716,17.77475083182585,17.77449388501944,17.35543776328215,17.355611632272808,17.355286756325082,17.76487214837353,17.764972334729784,17.76474110032035,17.28876221621026,17.288974396761436,17.28862643809034,17.692973176522433,17.693091534745324,17.69286852675246,17.21800447682459,17.218227225277964,17.217713754839874,17.424667387523524,17.42484664663226,17.424491450611157,17.160499483596524,17.16076439241399,17.16029796309604,,,,17.08455743784599,17.084890908579638,17.084274916865507,,,,17.002966885893027,17.003240390363302,17.002698676982067,,,,16.851064620122294,16.85139211290726,16.850761971504387
1,-5.625,17.48032686283824,17.48045516346239,17.480221153729495,17.26083476022246,17.260946882764927,17.26069660700165,17.516165570283277,17.51629142854624,17.51604342041988,17.192332267478726,17.192518622920332,17.192148338381003,17.524886227090104,17.525011815565474,17.524796931265865,17.085188647654665,17.08540905198058,17.085003812411216,17.43632381135624,17.436455425358066,17.436194585027913,16.99138344931862,16.99163933273608,16.99115568154333,17.081253568188348,17.081450220707822,17.081022249498435,16.911424215245937,16.91170023992887,16.911202557545938,,,,16.850483236176473,16.85083402099915,16.850234104794364,,,,16.741825949286113,16.742109467601367,16.741479732076765
2,-5.375,17.153841159032293,17.1539692743078,17.153705478250984,17.108367599142976,17.108502739171275,17.10824420207969,17.209830463382005,17.20995891081165,17.2096840829689,17.073362732478017,17.07353391788638,17.07324395005084,17.25225040788914,17.252360112701773,17.252117818148232,16.994397543763647,16.99454074971213,16.99423301854721,17.27382807799328,17.273922063723944,17.273702606809426,16.87473575406979,16.87491103796036,16.87454729529564,17.160312569052078,17.160455825214957,17.160191730002865,16.742977180001212,16.743209520833258,16.74274191592184,16.91679713565299,16.91693902904675,16.916612491742136,16.67508657691868,16.675334848949277,16.67483193140544,,,,16.593086949995644,16.593339965421524,16.592758307679745
3,-5.125,16.80176861166266,16.80192829196656,16.80159160937835,16.886450811980833,16.88658316430235,16.886297011062748,16.875040892262632,16.87517758297702,16.874900346038036,16.882465412294735,16.882598229903365,16.882302888127587,16.93641156476944,16.93657856550813,16.936298739890514,16.852096779068674,16.85225381580869,16.851932898147666,17.003916686147793,17.00406251786245,17.003816862369344,16.779191946845234,16.77932810199869,16.779050360982296,17.019514256937597,17.019616785918377,17.019404166980618,16.62749215048754,16.62770047210712,16.62725365066343,16.93389959317477,16.934025032244914,16.933743817039332,16.513458953593577,16.513689643253656,16.513205712340625,16.618834312500546,16.618986634499407,16.61862370121666,16.418781580864014,16.41901060538561,16.41848272887074
4,-4.875,16.436752366825047,16.436945691601018,16.43653260751677,16.605523469933924,16.60562971952538,16.60539208451049,16.51799110768855,16.51822041811255,16.5178776774862,16.626004553701282,16.626134129215377,16.625857380480966,16.59404482476852,16.59418216818903,16.59388184119614,16.637569739301426,16.637693088887033,16.63745586775368,16.689550544753796,16.689694474416726,16.68941765061961,16.618212030190232,16.618361434587914,16.618080325043504,16.76036563769462,16.760494018273487,16.76025233125686,16.532060579206977,16.532240806564626,16.531900445114726,16.773053271019727,16.77318532501724,16.772952479812737,16.4100722845154,16.41024144547284,16.409880605321572,16.670642733131906,16.67077296096999,16.67049048029934,16.253684196305116,16.25391142920011,16.253493178451645
5,-4.625,16.071460109531824,16.071695824106506,16.071286772452346,16.287119187050077,16.287249866400106,16.286968658101227,16.15179096015719,16.151950361378603,16.151555096304143,16.320853316081894,16.320993244217007,16.320657329051492,16.232508654178144,16.23268553030159,16.232334963540975,16.36078576345076,16.36089117305282,16.360675471079386,16.348037651294113,16.34818651974718,16.347916970643784,16.386019269285367,16.386115771366768,16.385853109638973,16.450302417882202,16.450440499531624,16.45017788444695,16.369689863090382,16.369842113813036,16.36954173476238,16.50422908512603,16.50435453498636,16.504130609389044,16.30547551540803,16.305628380303155,16.30532824218838,16.520960114086183,16.52109977658221,16.520847632217766,16.14506651796114,16.145271754594646,16.144894811374762
6,-4.375,15.711917642754598,15.712144849600842,15.711709982044283,15.949840053902564,15.95001435665678,15.949619587727199,15.787247256419231,15.787453156013195,15.78704574397915,15.991225936703826,15.991378748432897,15.991050802235264,15.86633617122445,15.866541319397587,15.866124095200393,16.045292255741586,16.045394556060184,16.045110512704166,15.98726086042564,15.98746819904502,15.987086556153027,16.096048552462065,16.096196065368538,16.095896458718812,16.11231653194217,16.112458169832177,16.112143006121883,16.13567759526614,16.135809009714524,16.13552676888194,16.190389667699367,16.190506322802076,16.190261471120014,16.128407546068505,16.128556587678933,16.128233406417966,16.257662860750695,16.25780879001193,16.257545887465746,16.045730814458732,16.045936702699628,16.04555109267565
7,-4.125,15.358604374286728,15.358892015402963,15.358360239531812,15.600726778420613,15.600886205785756,15.60051343131834,15.431005640745418,15.431258532568641,15.430710255242598,15.647634215154069,15.647804054468336,15.647472234196783,15.50345840997392,15.503713150041115,15.503263672502813,15.710710519479344,15.710890942568472,15.710543515162414,15.621099820690006,15.621276323563071,15.620905539405149,15.774834229744089,15.775005701360925,15.774668152361341,15.753930720863325,15.754097052338338,15.753723628084979,15.844390601079386,15.844521297278858,15.84424587752688,15.849363727216483,15.849529068470941,15.849212835405527,15.881013249149342,15.881179058225106,15.880864689983811,15.945995410621137,15.94609915875286,15.945854203096625,15.875130001533796,15.875278002491937,15.874989861609958
8,-3.875,14.993472661423962,14.993753193663588,14.99311663150998,15.247257377593787,15.2475564594649,15.24706617833672,15.075763839160935,15.076004105366366,15.07541367009644,15.294096881125789,15.294326582401213,15.29393335629287,15.149761823230978,15.150092189514885,15.149527760396442,15.36295445077583,15.363182074098233,15.362777822731415,15.258040112307865,15.25821268701699,15.257768363033675,15.437232962474322,15.437396460678777,15.437069231173822,15.387584808558946,15.387770198522745,15.387418007540523,15.522944563243481,15.523089466616916,15.522793325384052,15.489044773556707,15.489203790589903,15.48885475564581,15.581824349115305,15.581986314562137,15.581690072613087,15.606844521253578,15.60696436156847,15.606694520445073,15.633303097691112,15.633442911247359,15.633145362035789
9,-3.625,14.60740213715977,14.607735943558199,14.607061054205483,14.906183876432083,14.906419132777213,14.905939176344809,14.70583452164818,14.706276199382133,14.705469274449104,14.94518012103932,14.94542795397748,14.944913574737988,14.790761776679377,14.791127714765842,14.790446053870102,15.008972372843543,15.009150170484777,15.008740192489828,14.904079053633941,14.90433576365894,14.903831230720813,15.08624619081036,15.086432821786936,15.086046259901945,15.023938143726008,15.024124884630378,15.023721156352279,15.185273822093869,15.185443739145462,15.185055081955365,15.122911797366603,15.123106256997195,15.12271997303302,15.256856339383654,15.25700759069615,15.256718016097638,15.247745260033982,15.247920433470412,15.247571970349851,15.337132034108873,15.337275450376936,15.336936160393106
