,s_lst,z_med_flux_8p4GHz,z_upp_flux_8p4GHz,z_low_flux_8p4GHz,z_med_flux_5GHz,z_upp_flux_5GHz,z_low_flux_5GHz,z_med_flux_3GHz,z_upp_flux_3GHz,z_low_flux_3GHz,z_med_flux_1p4GHz,z_upp_flux_1p4GHz,z_low_flux_1p4GHz,z_med_flux_610MHz,z_upp_flux_610MHz,z_low_flux_610MHz,z_med_flux_325MHz,z_upp_flux_325MHz,z_low_flux_325MHz,z_med_flux_150MHz,z_upp_flux_150MHz,z_low_flux_150MHz
0,-10,2.075796365737915,3.317941188812256,1.0872654914855957,2.075796365737915,3.317941188812256,1.0872654914855957,2.075796365737915,3.317941188812256,1.0872654914855957,2.075796365737915,3.317941188812256,1.0872654914855957,2.075796365737915,3.317941188812256,1.0872654914855957,2.075796365737915,3.317941188812256,1.0872654914855957,2.075796365737915,3.317941188812256,1.0872654914855957
1,-9,2.075796365737915,3.317941188812256,1.0872654914855957,2.075796365737915,3.317941188812256,1.0872654914855957,2.075796365737915,3.317941188812256,1.0872654914855957,2.075796365737915,3.317941188812256,1.0872654914855957,2.075796365737915,3.317941188812256,1.0872654914855957,2.075796365737915,3.317941188812256,1.0872654914855957,2.075796365737915,3.317941188812256,1.0872654914855957
2,-8,2.075796365737915,3.317941188812256,1.0872654914855957,2.075796365737915,3.317941188812256,1.0872654914855957,2.075796365737915,3.317941188812256,1.0872654914855957,2.075796365737915,3.317941188812256,1.0872654914855957,2.075796365737915,3.317941188812256,1.0872654914855957,2.075796365737915,3.317941188812256,1.0872654914855957,2.075796365737915,3.317941188812256,1.0872654914855957
3,-7,2.075796365737915,3.317941188812256,1.0872654914855957,2.075796365737915,3.317941188812256,1.0872654914855957,2.075796365737915,3.317941188812256,1.0872654914855957,2.075796365737915,3.317941188812256,1.0872654914855957,2.075796365737915,3.317941188812256,1.0872654914855957,2.075796365737915,3.317941188812256,1.0872654914855957,2.075796365737915,3.317941188812256,1.0872654914855957
4,-6,1.848221778869629,3.0912585258483887,0.9669956684112548,1.9409141540527344,3.1967873573303223,1.0176630020141602,2.0164339542388916,3.2731471061706543,1.0569059085845947,2.075796365737915,3.317941188812256,1.0872654914855957,2.075796365737915,3.317941188812256,1.0872654914855957,2.075796365737915,3.317941188812256,1.0872654914855957,2.075796365737915,3.317941188812256,1.0872654914855957
5,-5,1.3650579452514648,2.4214949321746824,0.6705210208892822,1.4358203411102295,2.5372687053680414,0.7135741376876832,1.5109598636627197,2.653711366653442,0.7602930068969727,1.635679006576538,2.8250547599792473,0.8387730741500855,1.78680419921875,3.012864589691162,0.9324088954925538,1.905731439590454,3.157639980316162,1.0000293254852295,2.02630615234375,3.2811169624328613,1.0622365760803225
6,-4,0.9743945598602295,1.748331422805786,0.4809524440765381,1.0496385097503662,1.8729299926757812,0.5145937776565552,1.119544267654419,1.9941904067993164,0.5464256286621094,1.2170677185058594,2.1650431251525877,0.592672700881958,1.3225069046020508,2.347842254638672,0.6483785915374756,1.406886100769043,2.4891061782836914,0.6969283819198608,1.5244426727294922,2.6705601596832276,0.7695400524139404
7,-3,0.5306403636932373,1.0695627593994141,0.2701626920700073,0.601752519607544,1.1779759693145753,0.30446465969085695,0.6740800142288208,1.288251667022705,0.34023089885711666,0.7943843603134155,1.4629638290405274,0.3969978094100952,0.9256587624549866,1.665020227432251,0.45770439624786374,1.021728754043579,1.824577808380127,0.5019705533981323,1.130702257156372,2.0132256984710692,0.5514828205108643
8,-2,0.246016263961792,0.5812965106964111,0.1218722915649414,0.28242170810699463,0.6473934745788567,0.135981764793396,0.32213109731674194,0.7191356325149536,0.1574885272979737,0.39346277713775635,0.8441818141937256,0.19787553310394287,0.4910942316055298,1.0050045204162594,0.25210594177246093,0.5751489400863647,1.1357652473449704,0.2948081159591675,0.6889968514442444,1.306155776977539,0.3473252058029175
9,-1,0.1200372576713562,0.3068304634094238,0.05298340320587158,0.1306530237197876,0.33835552692413323,0.06251208305358887,0.14594465494155884,0.37935875415802,0.06919795989990235,0.17636072635650635,0.44925168991088865,0.0889759111404419,0.2225031852722168,0.542873101234436,0.11102980613708496,0.2690556049346924,0.6205223274230954,0.13104247093200683,0.33186233043670654,0.7331318426132198,0.16396205902099611
10,0,0.06221723556518555,0.14765421867370604,0.01981351852416992,0.07194453477859497,0.17820794582366944,0.022028589248657228,0.08294099569320679,0.19929354190826415,0.03180043697357178,0.09603869915008545,0.25632283687591556,0.04226267337799072,0.10891485214233398,0.2929120540618896,0.047426152229309085,0.1284869909286499,0.329805064201355,0.05987652301788331,0.1489812135696411,0.38482525348663327,0.07271260738372803
11,1,,,,,,,,,,0.05484902858734131,0.1335536003112793,0.013562369346618652,0.053429484367370605,0.13576002597808828,0.01630312442779541,0.06802928447723389,0.17024949550628662,0.021746816635131838,0.08378612995147705,0.20074063301086426,0.037841658592224124
