,zbins_flux_8p4GHz,zlow_flux_8p4GHz,zupp_flux_8p4GHz,zmed_flux_8p4GHz,zbins_flux_5GHz,zlow_flux_5GHz,zupp_flux_5GHz,zmed_flux_5GHz,zbins_flux_3GHz,zlow_flux_3GHz,zupp_flux_3GHz,zmed_flux_3GHz,zbins_flux_1p4GHz,zlow_flux_1p4GHz,zupp_flux_1p4GHz,zmed_flux_1p4GHz,zbins_flux_610MHz,zlow_flux_610MHz,zupp_flux_610MHz,zmed_flux_610MHz,zbins_flux_325MHz,zlow_flux_325MHz,zupp_flux_325MHz,zmed_flux_325MHz,zbins_flux_150MHz,zlow_flux_150MHz,zupp_flux_150MHz,zmed_flux_150MHz
0,-0.125,6.122201834075816,6.129241646264628,6.125772181868353,-0.125,6.196559009410628,6.203300924273233,6.200647964641316,-0.125,6.263505408753463,6.2699844052934,6.266300031455091,-0.125,6.354092379329433,6.361059855214604,6.358163878531061,-0.125,6.44818112063057,6.453097776185347,6.450749504754495,-0.125,6.513684567322384,6.518795216278056,6.5163546981857925,-0.125,6.582980243070607,6.587413148087093,6.584962806791699
1,0.125,6.608887929953165,6.612607019557585,6.610648545570438,0.125,6.815152343467802,6.817529230210679,6.816246671443975,0.125,6.995001402940281,6.996824422306306,6.996046650695788,0.125,7.2100534091492055,7.211622942120093,7.2107496525263395,0.125,7.38091666711917,7.382505707600142,7.381602602120254,0.125,7.482091404008069,7.483505933280501,7.482865100577872,0.125,7.588855045532837,7.590212992380545,7.5894345022960685
2,0.375,6.127584437346462,6.134670566395817,6.130986295409637,0.375,6.375895583148296,6.380692161597667,6.378410595609934,0.375,6.630408356256928,6.634836112688228,6.6325658136732715,0.375,7.0222189188538024,7.024114929921014,7.02326925366862,0.375,7.387692825760011,7.389114503448894,7.388310353559245,0.375,7.593369337922064,7.594517158271606,7.59394611660756,0.375,7.772104121523813,7.773272029706627,7.772726910989267
3,0.625,5.805140285357395,5.816672755645899,5.810336913427288,0.625,6.076244541938812,6.084742231998522,6.080637278245857,0.625,6.317167503347806,6.322905522205518,6.320619198750381,0.625,6.668310673371529,6.672966622665229,6.6704857486209885,0.625,7.076823335528081,7.079579734702764,7.078141557421133,0.625,7.386254564118734,7.388288568234882,7.387289090282174,0.625,7.6954357614618605,7.696644299190213,7.696148255916089
4,0.875,5.412072683402452,5.432373588076004,5.420547111474719,0.875,5.746813719821629,5.757868546593881,5.752416191457043,0.875,6.0545368437060025,6.062559020377173,6.058520467796235,0.875,6.442662848683648,6.447333108141882,6.444706965999515,0.875,6.8247828623517055,6.828408433306954,6.826695318523684,0.875,7.117168112713505,7.119511896089823,7.118292024781431,0.875,7.4831209751683865,7.484826621520698,7.483817024232825
5,1.125,5.002621149340204,5.032265434267068,5.019537871075005,1.125,5.368592544982493,5.389963023828701,5.381756460578578,1.125,5.728908084238921,5.742572177904013,5.735620184522169,1.125,6.203043960009703,6.211263642608561,6.207128588604649,1.125,6.6327162023980675,6.637251852256909,6.635658177519154,1.125,6.913390885847872,6.916220150328466,6.91494016999615,1.125,7.252062644194324,7.254222768854447,7.2533962141867105
6,1.375,4.575783329157256,4.623850750879184,4.604050869014856,1.375,4.96548810985138,4.994170399386711,4.981469210542292,1.375,5.369703378820546,5.38714488667344,5.378287010626344,1.375,5.909679992247194,5.919029808402648,5.915152391259408,1.375,6.417899033526204,6.42411362323201,6.42117872374335,1.375,6.737571304738232,6.741091247844226,6.738948504601052,1.375,7.0716497775428735,7.074220272201934,7.072959169976891
7,1.625,4.060650456589917,4.1335601931942065,4.096488881818624,1.625,4.54370833660793,4.5918545906543855,4.56345921909492,1.625,4.980549213620813,5.009757032577793,4.996341876320145,1.625,5.593210329772893,5.608480720177936,5.600697227007268,1.625,6.174001413900371,6.181271083616671,6.1771010829726976,1.625,6.5485286818988815,6.553607204491457,6.551409172914063,1.625,6.913493129042151,6.916782445343901,6.914963029577046
8,1.875,3.745380021811325,3.8630195196781254,3.8081708516707806,1.875,4.08268395206421,4.160353369782143,4.121551285721191,1.875,4.500135954438141,4.536212303954057,4.512123256525739,1.875,5.2295216194067144,5.251132768419391,5.2395346158297675,1.875,5.9171285714417445,5.926829772494718,5.92137476025723,1.875,6.334580716062558,6.342154952405614,6.337643160538499,1.875,6.7465762535232,6.750306406288901,6.748438243116793
9,2.125,3.3931975036999624,3.585764957036508,3.5071408560067994,2.125,3.5835292018702543,3.704951364755717,3.6603692321029766,2.125,4.117473373300752,4.199920006776144,4.1566254972629,2.125,4.822820606282649,4.860183686566931,4.844600117297455,2.125,5.55879197400254,5.575657808871014,5.56740273064011,2.125,6.037293249307522,6.046164813159124,6.041337872050991,2.125,6.531402909005091,6.536167934913276,6.534451251603127
10,2.375,3.0386197730490543,3.2682587670916625,3.1713487540836063,2.375,3.2382955437142193,3.4569060630913797,3.3709211089888105,2.375,3.4723787497475875,3.612782029914217,3.5545655059349377,2.375,4.379610909165431,4.434590188858188,4.408137853492899,2.375,5.197568679725931,5.2187793942391485,5.208110684975036,2.375,5.757451989528843,5.770806052570968,5.763294048231494,2.375,6.3083555864952805,6.31463633473043,6.311909169082284
11,2.625,2.937265548050238,3.1713487540836063,3.0464100174753064,2.625,3.1713487540836063,3.3931975036999624,3.296287490691906,2.625,3.5235312721949685,3.6603692321029766,3.5973174863558874,2.625,3.9729811003167725,4.051208900357075,4.008621456585907,2.625,4.843446612019323,4.87618536029501,4.862282802823083,2.625,5.394030549636784,5.413351535338295,5.403179257017269,2.625,6.0289666651177125,6.03946199808913,6.033902490124096
12,2.875,2.3931975036999624,2.7911375123720004,2.5692887627556438,2.875,2.6942274993639437,3.0464100174753064,2.870318758419625,2.875,2.870318758419625,3.206110860342818,3.0464100174753064,2.875,2.995257495027925,3.2382955437142193,3.092167508035981,2.875,4.182072619475379,4.262429223430939,4.219272306400789,2.875,4.898347482019869,4.929755946271492,4.914008435236436,2.875,5.68399313360938,5.699978399650416,5.692050580109669
13,3.125,-inf,-inf,-inf,3.125,-inf,-inf,-inf,3.125,-inf,-inf,-inf,3.125,-inf,-inf,-inf,3.125,3.646535509026069,3.7642653659716987,3.710215604748074,3.125,4.5602784233732185,4.610891963905341,4.587017529716076,3.125,5.365594758771927,5.384901926107404,5.377837313996049
