,sbins_0,med_sfr0,low_sfr0,upp_sfr0,sbins_1,med_sfr1,low_sfr1,upp_sfr1,sbins_2,med_sfr2,low_sfr2,upp_sfr2,sbins_3,med_sfr3,low_sfr3,upp_sfr3,sbins_5,med_sfr5,low_sfr5,upp_sfr5,sbins_6,med_sfr6,low_sfr6,upp_sfr6,sbins_7,med_sfr7,low_sfr7,upp_sfr7,sbins_8,med_sfr8,low_sfr8,upp_sfr8
0,-3.0,-1.376536357380942,-1.3773055117140116,-1.3759912502199274,-3.0,-0.9398766355136381,-0.9403308211384912,-0.939451871810031,-3.0,-1.5797275082511129,-1.5807527043387017,-1.5788445865658696,-3.0,-2.471002421124957,-2.4739810980984682,-2.4678518396708906,-3.0,-3.6941422759824145,-3.708381941987821,-3.682415469514383,-3.0,-4.1340551896476825,-4.150322802362135,-4.11837498536252,-3.0,-4.772744076337806,-4.810166405071415,-4.72927176478646,-3.0,-5.236185633766276,-5.289870492729052,-5.178042215131446
1,-2.75,-1.2860665520761065,-1.2866873336857607,-1.285407605908234,-2.75,-0.826903595028885,-0.8272366841486163,-0.8265445381157464,-2.75,-1.185214048928886,-1.1860023073146952,-1.18476020428506,-2.75,-2.078936254190915,-2.0801469878738024,-2.077311435863779,-2.75,-3.4394177359343514,-3.44728095839683,-3.4296649228154164,-2.75,-3.893074870705752,-3.9068114081446197,-3.8796173030274623,-2.75,-4.421721223753682,-4.454948081784781,-4.399832073367699,-2.75,-4.85681686464069,-4.901171140791927,-4.812140129239271
2,-2.5,-1.3259447962869255,-1.3266043804549792,-1.325254817056973,-2.5,-0.9532322534539299,-0.9537641105095291,-0.9529143059204578,-2.5,-0.8553488611293896,-0.8556250265555956,-0.8548811955025759,-2.5,-1.6277827564791287,-1.6289015190420402,-1.626957257145626,-2.5,-3.1264187850945238,-3.1327797276974394,-3.122774015476907,-2.5,-3.590101208195476,-3.600645780177575,-3.5806630375128576,-2.5,-4.068937011063477,-4.085864813135217,-4.053200666762693,-2.5,-4.560023921919964,-4.584096780338088,-4.5292099745057435
3,-2.25,-1.425568677857515,-1.4265217698428543,-1.4248242116442706,-2.25,-1.1272294555386355,-1.127791240134823,-1.1267480841799595,-2.25,-0.9211562781477681,-0.9215372685866572,-0.9206590701075164,-2.25,-1.1351638949062184,-1.135652431021209,-1.1347664819572907,-2.25,-2.7104329055554808,-2.713867591162568,-2.7074793486443767,-2.25,-3.236690921178601,-3.2435848556270583,-3.2297693474295577,-2.25,-3.708885527484734,-3.7189958755993198,-3.6992984825913555,-2.25,-4.137260329522894,-4.155458495335988,-4.115825995122721
4,-2.0,-1.5684851416788068,-1.5693739855649522,-1.5677405089892331,-2.0,-1.3032731710800594,-1.3039597170235606,-1.302557017797803,-2.0,-1.0708446689040498,-1.0713582326874724,-1.0703538553210787,-2.0,-0.9933796555544592,-0.9938684481449728,-0.9929447346962026,-2.0,-2.1799324470377885,-2.182023834291643,-2.1781277396338257,-2.0,-2.7747464399298014,-2.778420587503104,-2.770862278787832,-2.0,-3.2923346627920678,-3.299050445875786,-3.2860065118079644,-2.0,-3.7002735940339124,-3.7109901085318726,-3.6885769069912517
5,-1.75,-1.7208556143495908,-1.7221001884896763,-1.719673012079955,-1.75,-1.4677376994999327,-1.468554211971136,-1.4670529721260115,-1.75,-1.2220506044908452,-1.2226374896100767,-1.2213347966012915,-1.75,-1.1103595206326384,-1.1110116338821932,-1.109734472168245,-1.75,-1.6297917689943735,-1.630924798743,-1.6288323693274998,-1.75,-2.1904806657141394,-2.19248603224549,-2.1886467101188334,-1.75,-2.714637056568886,-2.7183296017943928,-2.711382084693778,-1.75,-3.1415845181863005,-3.1482656123868913,-3.1368069697773593
6,-1.5,-1.8601479541223531,-1.8614350717562262,-1.8588244808258194,-1.5,-1.6215851415203593,-1.6223927658520132,-1.6208621770483271,-1.5,-1.3793808956161688,-1.3802674559344554,-1.3786741259527442,-1.5,-1.2448858764852335,-1.2454703346910312,-1.2443987796541212,-1.5,-1.3562786532506612,-1.3568920179174229,-1.3557370659975283,-1.5,-1.7901074658507508,-1.7913379503845526,-1.7887097171179955,-1.5,-2.4072411160333114,-2.409939619232922,-2.4054758431869665,-1.5,-2.693519403013318,-2.696923923822572,-2.689921954059973
7,-1.25,-1.979918309360233,-1.9813011370112175,-1.9782029416430171,-1.25,-1.774875604370155,-1.7762289018228954,-1.7739457798894973,-1.25,-1.526157857652811,-1.526809952627633,-1.5252085245126246,-1.25,-1.3928311526046715,-1.3935492878747995,-1.391849387820587,-1.25,-1.427070854499571,-1.4279026639925172,-1.4264948441445213,-1.25,-1.5837256509303228,-1.5847171166559144,-1.582744429342131,-1.25,-1.9991828794906816,-2.0004611057150425,-1.9977926539577953,-1.25,-2.6307552971180215,-2.6339358063469054,-2.6272299463312483
8,-1.0,-2.0637761907745027,-2.065400950830135,-2.0617295885819846,-1.0,-1.915059461611005,-1.9165524728605667,-1.9133277273845617,-1.0,-1.6728301250393796,-1.673640484163826,-1.6717474956282987,-1.0,-1.55924119451428,-1.5601780812404895,-1.558234488235505,-1.0,-1.5376764279520936,-1.53858944342204,-1.5369189561551697,-1.0,-1.6671208194118878,-1.6679209129068424,-1.6662078941150318,-1.0,-1.892104236602602,-1.8932421120078835,-1.8909262770842148,-1.0,-2.190626145819981,-2.192883684960585,-2.189182959415839
9,-0.75,-2.125408059516048,-2.1276999059843456,-2.1237954634931873,-0.75,-2.035895187253507,-2.037797107432904,-2.034250183399949,-0.75,-1.8181176273183062,-1.81910343335632,-1.8168884505126048,-0.75,-1.715778275666884,-1.717042652211092,-1.7145266848181835,-0.75,-1.6882936369271615,-1.6892075169316567,-1.6871800892896105,-0.75,-1.790353428734464,-1.7913917685614793,-1.7892082834225582,-0.75,-2.016327072057653,-2.018166787108911,-2.014881810958367,-0.75,-2.282999283005929,-2.284910029111391,-2.281000147464841
10,-0.5,-2.155010040973788,-2.157052533108861,-2.153459364240781,-0.5,-2.140691909631996,-2.1425629750858217,-2.138645845608569,-0.5,-1.9519175776698867,-1.95331723184307,-1.9510283172934786,-0.5,-1.8681150740737893,-1.8693996673178424,-1.867073549828124,-0.5,-1.930184758502332,-1.9312914991221268,-1.9287407450131704,-0.5,-1.9999443220012547,-2.001614675930866,-1.9986489094798099,-0.5,-2.1954131561030508,-2.1972144745131863,-2.193554451984147,-0.5,-2.464307729170153,-2.4677471670006064,-2.4622244315584725
11,-0.25,-2.1793915407589086,-2.181374901849025,-2.1775809560228327,-0.25,-2.2215527802056076,-2.22359165854691,-2.219379212395256,-0.25,-2.079759754986782,-2.081822816247561,-2.078626824637591,-0.25,-2.019268263891154,-2.0208001792427446,-2.0176034786855364,-0.25,-2.1772610819567695,-2.1785223599523005,-2.1751878868871244,-0.25,-2.3245945046518592,-2.327524090048333,-2.322697069773512,-0.25,-2.5128063379866226,-2.5148405903763487,-2.5102208475048307,-0.25,-2.727687233355751,-2.731491651462798,-2.7244390310417357
