,med_fir_a,med_rad_a,low_rad_a,upp_rad_a,med_fir_l,med_rad_l,low_rad_l,upp_rad_l,med_fir_u,med_rad_u,low_rad_u,upp_rad_u,med_mst_L,med_sfr_L,low_sfr_L,upp_sfr_L,med_mst_U,med_sfr_U,low_sfr_U,upp_sfr_U,med_mst_a,med_sfr_a,low_sfr_a,upp_sfr_a,med_q_mst_a,med_q_mst_l,med_q_mst_u,med_qir_a,low_qir_a,upp_qir_a,med_qir_u,low_qir_u,upp_qir_u,med_qir_l,low_qir_l,upp_qir_l
0,,,,,37.65097591327104,22.46262709179039,22.445313482657337,22.488588943951868,,,,,9.174876801172893,1.2363441070560586,1.1763926604491552,1.2772039617829272,,,,,8.07530754407247,-1.1121506084826132,-1.622712640025814,-0.43050825250957037,8.07530754407247,9.174876801172893,,2.626030333128103,2.395720975128455,2.7341572827752993,,,,2.6701155636304676,2.623929856904192,2.6956870244449394
1,,,,,37.688863515953045,22.47166904893617,22.448250729545983,22.511689309166318,,,,,9.288056230545042,1.3116331966727266,1.2203696111225242,1.3888727523482607,,,,,8.225760507583619,-1.1809440069670143,-1.5398074075238293,-0.2796197314373028,8.225760507583619,9.288056230545042,,2.6326816957623826,2.4242923339029225,2.7230592339670237,,,,2.658667251306145,2.6213524278106406,2.6883618061286447
2,,,,,37.726751118635036,22.496386276850156,22.45784579335851,22.541928174045882,,,,,9.401235659917194,1.376793401581176,1.2328379071867883,1.4641953428485344,10.000843365987144,2.3254414781183104,2.1958997633024846,2.3552324265084845,8.376213471094768,-0.9896613745918135,-1.3746190678159105,-0.11045200265366183,8.376213471094768,9.401235659917194,10.000843365987144,2.633007296643985,2.400081215455253,2.723385403028271,2.6634013118593884,2.6253816194237087,2.679636145538328,2.6463127952158043,2.5926658150903115,2.681827675693347
3,,,,,37.76463872131704,22.52663799927553,22.479111618125884,22.578147708569308,38.68798949944187,23.502026810450488,23.486654632128683,23.535637194498662,9.514415089289344,1.342665094079925,1.2220267772247437,1.5324942875431065,10.069934527079266,2.3900471775403127,2.215488553681333,2.4443928736932867,8.526666434605918,-0.8550613322543433,-1.1996112023530285,-0.036026767674416815,8.526666434605918,9.514415089289344,10.069934527079266,2.609298790950305,2.37183208104462,2.7086428433925747,2.6606056960470355,2.6265150145603524,2.6779325598451087,2.6430076601039474,2.596130698834714,2.682462693586869
4,34.235478993997376,20.140316415101424,20.04637328613376,20.436144070358115,37.80252632399903,22.55872032400285,22.506280337872575,22.617513738153928,38.71701147310431,23.51649849185818,23.491762963317278,23.551876444267272,9.627594518661496,1.3619402271088608,1.2106677529393104,1.5419608055367817,10.13902568817139,2.3957347164290397,2.203430422527192,2.4858140619743065,8.677119398117068,-0.7240589424229783,-1.0125691250664604,-0.09786567850553467,8.677119398117068,9.627594518661496,10.13902568817139,2.600495103751687,2.314883806490014,2.7064819123033645,2.6475687434657544,2.617833879734549,2.6761740295664094,2.6487342625319243,2.6085913262359726,2.6793678888499164
5,34.451317493827574,20.267649216093748,19.784558070114688,20.439206602089232,37.84041392668104,22.59224394319088,22.535865394851786,22.65782833049959,38.74603344676673,23.526164763979345,23.502074714087428,23.564017924867976,9.740773948033645,1.391717793064017,1.2470149584366677,1.5463037146131473,10.208116849263511,2.3014015012419486,2.1614691280649247,2.3692430717813098,8.827572361628217,-0.5992405515360223,-0.8439056365451247,-0.08081262024905682,8.827572361628217,9.740773948033645,10.208116849263511,2.6073611321099115,2.2464681779297764,2.709205852414661,2.6538407857013873,2.624497079387332,2.6733800801962153,2.642775118860568,2.5945551454877203,2.6719431266699596
6,34.667155993657786,20.361555728947987,19.666837458895426,20.535968355667517,37.87830152936303,22.6253133470311,22.56448859748605,22.691385591153054,38.77505542042917,23.54933863140019,23.52065281293077,23.588986015107672,9.853953377405798,1.4116589256482797,1.2795823813672769,1.5478193261050164,10.277208010355636,2.2925901233050268,2.1883064529651395,2.4101967232300523,8.978025325139367,-0.4422019097147733,-0.6753732075408105,-0.006943598635430755,8.978025325139367,9.853953377405798,10.277208010355636,2.5900758080063433,2.2388581891056996,2.7094383071324435,2.652887506932391,2.623125531131979,2.672742902795032,2.643895396504952,2.5979955028789257,2.6736907451601626
7,34.882994493487985,20.26990040979379,19.65886222359049,20.54412885968323,37.916189132045034,22.66236543127054,22.599778877963306,22.72748070273864,38.80407739409159,23.573277155374285,23.54522078253314,23.60969032327732,9.967132806777947,1.4495927289422263,1.2998591596040665,1.5853988109605097,10.346299171447757,2.2895327571140727,2.202900255307652,2.4400449130647344,9.128478288650516,-0.29950203211890924,-0.5051766636495342,0.07682699479937642,9.128478288650516,9.967132806777947,10.346299171447757,2.609477596366819,2.277616762422723,2.716291793826184,2.6501915613167615,2.6166017120946323,2.6730498604874446,2.6443273420247024,2.6009783349705966,2.6756210255683333
8,35.0988329933182,20.181112311061955,19.842038609576242,20.647881015443385,37.954076734727025,22.699298753789726,22.6352769767362,22.765204591982133,38.83309936775403,23.600581701203026,23.568344456947784,23.634083332726746,10.0803122361501,1.489845144078359,1.3429950840351266,1.6352740686001708,10.415390332539882,2.3086698109780195,2.20439122430092,2.403533203984181,9.278931252161666,-0.1263118665382159,-0.34555621480178467,0.22739841735147132,9.278931252161666,10.0803122361501,10.415390332539882,2.625866123463192,2.327620407172341,2.720604821331161,2.651521247899904,2.6172754357316355,2.672367228988825,2.64644936883953,2.600565801927663,2.6791219428389965
9,35.314671493148396,20.46700124574512,20.07238444412646,20.735615664231094,37.99196433740903,22.73866872787817,22.67070337916008,22.80758440924889,38.862121341416454,23.631028815996064,23.59474086557272,23.669778787713458,10.193491665522249,1.510152972163991,1.3163515463756537,1.6740429437476554,10.484481493632003,2.334324784546764,2.2309837382318154,2.448683077610109,9.429384215672815,0.05228836173775332,-0.1712433952100242,0.4069294689130503,9.429384215672815,10.193491665522249,10.484481493632003,2.6382269118953445,2.4020706983724107,2.726519254852517,2.6493235811271116,2.6202016841170823,2.671994609058462,2.6479955182982984,2.595253374945675,2.6888074602273333
